run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
16,1,0,0,1,1,1,1,1,1,0,0,0,0,6.11283,NaN,NaN,60,18.0857,917,148,NaN,NaN,NaN,3.57962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.56761,NaN,NaN,4.58139,NaN,NaN,0.00827938,NaN,NaN,10.7025,NaN,NaN
17,1,0,0,1,1,1,1,1,1,0,0,0,0,6.10069,NaN,NaN,60.3981,18.1005,824,281,NaN,NaN,NaN,3.65599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64354,NaN,NaN,4.67937,NaN,NaN,0.00809872,NaN,NaN,10.7882,NaN,NaN
18,1,0,0,1,1,1,1,1,1,0,0,0,0,5.95734,NaN,NaN,60.3448,18.1317,1004,115,NaN,NaN,NaN,3.61953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.60713,NaN,NaN,4.64192,NaN,NaN,0.00731733,NaN,NaN,10.6066,NaN,NaN
19,1,0,0,1,1,1,1,1,1,0,0,0,0,5.97697,NaN,NaN,59.2902,18.0301,808,217,NaN,NaN,NaN,3.61968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.60771,NaN,NaN,4.63318,NaN,NaN,0.00925522,NaN,NaN,10.6194,NaN,NaN
20,1,0,0,1,1,1,1,1,1,0,0,0,0,5.98407,NaN,NaN,58.8682,18.1078,913,197,NaN,NaN,NaN,3.62384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.61179,NaN,NaN,4.64436,NaN,NaN,0.00735143,NaN,NaN,10.6358,NaN,NaN
21,1,0,0,1,1,1,1,1,1,0,0,0,0,6.07126,NaN,NaN,60.2901,18.0867,866,193,NaN,NaN,NaN,3.58206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.57012,NaN,NaN,4.58439,NaN,NaN,0.00724441,NaN,NaN,10.6629,NaN,NaN
22,1,0,0,1,1,1,1,1,1,0,0,0,0,5.97302,NaN,NaN,60.2225,18.0487,943,81,NaN,NaN,NaN,3.59731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.58532,NaN,NaN,4.61003,NaN,NaN,0.00788542,NaN,NaN,10.5909,NaN,NaN
23,1,0,0,1,1,1,1,1,1,0,0,0,0,6.03008,NaN,NaN,59.2226,18.052,789,173,NaN,NaN,NaN,3.58697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.57498,NaN,NaN,4.59398,NaN,NaN,0.010395,NaN,NaN,10.6344,NaN,NaN
24,1,0,0,1,1,1,1,1,1,0,0,0,0,6.08252,NaN,NaN,59.9582,18.0747,861,75,NaN,NaN,NaN,3.60168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.58974,NaN,NaN,4.60986,NaN,NaN,0.00814189,NaN,NaN,10.7005,NaN,NaN
25,1,1,0,1,1,1,1,1,1,0,0,0,0,507.78,660.202,NaN,41.2827,19.5835,8247,6908,99.9990,33.4550,0.0010,37.2006,17.6980,17.4160,35.8970,0.6510,16.7280,69.7550,457.0910,0.7910,NaN,NaN,NaN,NaN,31.3946,37.0302,NaN,6.59849,5.73001,NaN,0.0115,37.6665,NaN,514.39,703.598,NaN
26,1,1,0,1,1,1,1,1,1,0,0,0,0,505.356,656.349,NaN,41.6107,19.219,8400,6174,99.9990,33.5230,0.0010,37.1155,17.6650,17.4440,39.6320,0.5970,16.7950,66.7470,433.5320,0.7390,NaN,NaN,NaN,NaN,31.3246,36.9437,NaN,6.41469,5.67663,NaN,0.0143564,37.7482,NaN,511.785,699.774,NaN
27,1,1,0,1,1,1,1,1,1,0,0,0,0,507.901,659.346,NaN,41.6358,19.4755,8294,6533,100.0000,33.2370,0.0010,37.2749,17.9410,17.5470,35.0960,0.6080,16.6020,69.1860,481.8630,0.7340,NaN,NaN,NaN,NaN,31.3961,37.1032,NaN,6.54671,5.72751,NaN,0.014512,37.6431,NaN,514.462,702.716,NaN
28,1,0,1,1,1,1,1,1,1,0,0,0,0,530.594,NaN,445.586,26.5149,18.5541,7867,3117,99.9990,39.0930,0.0010,32.5085,19.5300,15.3510,22.9690,0.5220,NaN,NaN,NaN,NaN,19.5630,15.2900,45.6970,0.5770,32.4948,NaN,32.4839,5.51886,NaN,5.57384,0.00716497,NaN,0.156354,536.12,NaN,451.316
29,1,0,1,1,1,1,1,1,1,0,0,0,0,528.251,NaN,443.545,26.5689,18.5817,7889,3819,99.9860,39.4240,0.0130,32.3833,19.6950,15.2320,23.7780,0.5380,NaN,NaN,NaN,NaN,19.7290,15.2830,42.2110,0.5930,32.3694,NaN,32.3586,5.71912,NaN,5.7683,0.00955232,NaN,0.167798,533.979,NaN,449.481
30,1,0,1,1,1,1,1,1,1,0,0,0,0,528.816,NaN,443.957,26.3529,18.6046,7911,3799,99.9980,39.3540,0.0010,32.3986,19.6600,15.3590,23.4790,0.5240,NaN,NaN,NaN,NaN,19.6940,15.0690,38.2130,0.5610,32.3843,NaN,32.3745,5.48056,NaN,5.56027,0.00804648,NaN,0.155514,534.305,NaN,449.673
31,1,0,0,1,1,1,1,1,1,0,0,0,0,5.62881,NaN,NaN,58.9958,19.3814,926,172,99.9940,0.6800,0.0060,3.55993,189.6090,4.0640,13.9090,0.1680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.54795,NaN,NaN,4.56144,NaN,NaN,0.00850248,NaN,NaN,10.1988,NaN,NaN
32,1,0,0,1,1,1,1,1,1,0,0,0,0,5.58078,NaN,NaN,58.484,18.5101,928,417,99.9940,0.3400,0.0060,3.6062,186.1680,4.0640,13.9720,0.1720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.59431,NaN,NaN,4.6206,NaN,NaN,0.00817672,NaN,NaN,10.2096,NaN,NaN
33,1,0,0,1,1,1,1,1,1,0,0,0,0,5.63429,NaN,NaN,58.1973,18.1627,924,115,99.9940,0.6790,0.0060,3.5711,188.5040,4.1260,13.9500,0.1800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.55925,NaN,NaN,4.57508,NaN,NaN,0.00720451,NaN,NaN,10.2166,NaN,NaN
