run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
16,1,0,0,1,1,1,1,1,1,0,0,0,0,152.546,NaN,NaN,23.6158,26.6239,1335,652,NaN,NaN,NaN,9.61848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60631,NaN,NaN,5.07139,NaN,NaN,0.0111137,NaN,NaN,157.628,NaN,NaN
17,1,0,0,1,1,1,1,1,1,0,0,0,0,152.944,NaN,NaN,21.8965,26.8381,1337,564,NaN,NaN,NaN,9.6192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60685,NaN,NaN,4.73774,NaN,NaN,0.00975257,NaN,NaN,157.692,NaN,NaN
18,1,0,0,1,1,1,1,1,1,0,0,0,0,152.761,NaN,NaN,22.3833,26.4932,1334,593,NaN,NaN,NaN,9.62177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60936,NaN,NaN,4.86762,NaN,NaN,0.0107095,NaN,NaN,157.639,NaN,NaN
19,1,0,0,1,1,1,1,1,1,0,0,0,0,152.759,NaN,NaN,23.1031,26.9634,1337,622,NaN,NaN,NaN,9.62059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60848,NaN,NaN,4.96819,NaN,NaN,0.0100511,NaN,NaN,157.737,NaN,NaN
20,1,0,0,1,1,1,1,1,1,0,0,0,0,152.911,NaN,NaN,22.6187,26.9929,1336,931,NaN,NaN,NaN,9.62139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60917,NaN,NaN,4.83961,NaN,NaN,0.010004,NaN,NaN,157.761,NaN,NaN
21,1,0,0,1,1,1,1,1,1,0,0,0,0,152.686,NaN,NaN,23.5063,26.7992,1336,633,NaN,NaN,NaN,9.62097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60874,NaN,NaN,5.05571,NaN,NaN,0.0100083,NaN,NaN,157.752,NaN,NaN
22,1,0,0,1,1,1,1,1,1,0,0,0,0,152.852,NaN,NaN,22.8707,26.7145,1336,674,NaN,NaN,NaN,9.62735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61521,NaN,NaN,5.00817,NaN,NaN,0.00973552,NaN,NaN,157.87,NaN,NaN
23,1,0,0,1,1,1,1,1,1,0,0,0,0,152.885,NaN,NaN,23.6787,26.9531,1337,693,NaN,NaN,NaN,9.62487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61263,NaN,NaN,4.93703,NaN,NaN,0.010107,NaN,NaN,157.832,NaN,NaN
24,1,0,0,1,1,1,1,1,1,0,0,0,0,152.601,NaN,NaN,23.8782,26.5772,1337,828,NaN,NaN,NaN,9.62048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60836,NaN,NaN,5.11689,NaN,NaN,0.0108209,NaN,NaN,157.729,NaN,NaN
25,1,1,0,1,1,1,1,1,1,0,0,0,0,607.042,642.802,NaN,43.5843,27.4849,8266,5529,99.9120,27.7360,0.0880,45.2919,13.8510,23.6870,33.0860,16.4860,13.8510,25.1580,169.8330,1.9380,NaN,NaN,NaN,NaN,45.0645,45.1194,NaN,5.71055,5.29501,NaN,0.0105543,37.4531,NaN,612.763,685.55,NaN
26,1,1,0,1,1,1,1,1,1,0,0,0,0,609.075,644.674,NaN,43.5123,27.6699,8250,5793,99.9220,27.6520,0.0780,45.4337,13.8260,23.6820,33.3830,16.5140,13.7920,25.0240,181.1840,2.2070,NaN,NaN,NaN,NaN,45.2067,45.2597,NaN,5.60294,5.17437,NaN,0.0111264,37.2188,NaN,614.689,687.067,NaN
27,1,1,0,1,1,1,1,1,1,0,0,0,0,607.846,643.663,NaN,43.5843,27.3872,8260,4732,99.9960,27.6700,0.0040,45.2962,13.8180,23.7370,30.8860,16.2570,13.8180,25.9680,196.1750,2.2050,NaN,NaN,NaN,NaN,45.1222,45.1262,NaN,5.64683,5.15043,NaN,0.0102898,37.1183,NaN,613.503,685.932,NaN
28,1,0,1,1,1,1,1,1,1,0,0,0,0,553.291,NaN,550.784,30.475,27.0526,7649,3421,99.9280,30.9800,0.0720,40.9888,15.4900,23.0770,27.1820,14.9500,NaN,NaN,NaN,NaN,15.4560,14.1510,31.4580,1.9220,40.9589,NaN,40.9627,5.04321,NaN,5.49584,0.00978957,NaN,0.155014,558.344,NaN,556.435
29,1,0,1,1,1,1,1,1,1,0,0,0,0,553.288,NaN,551.007,30.5525,26.9888,7656,3493,99.8820,30.9920,0.1190,40.9903,15.4960,23.0900,25.2970,15.0130,NaN,NaN,NaN,NaN,15.4630,14.0980,31.5460,1.9440,40.9591,NaN,40.977,5.05533,NaN,5.46352,0.00914022,NaN,0.151279,558.352,NaN,556.622
30,1,0,1,1,1,1,1,1,1,0,0,0,0,555.568,NaN,553.441,30.3941,26.9394,7682,2986,99.9360,30.7850,0.0640,41.1685,15.3920,23.1610,27.5130,15.0700,NaN,NaN,NaN,NaN,15.3920,14.1330,32.6940,2.0320,41.1378,NaN,41.1537,5.12751,NaN,5.47182,0.00917831,NaN,0.149077,560.704,NaN,559.062
31,1,0,0,1,1,1,1,1,1,0,0,0,0,152.637,NaN,NaN,23.1637,27.3479,1339,687,99.1410,0.3580,0.8590,9.6293,69.3780,110.1200,117.0610,24.0010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61691,NaN,NaN,5.2037,NaN,NaN,0.00977905,NaN,NaN,157.85,NaN,NaN
32,1,0,0,1,1,1,1,1,1,0,0,0,0,152.881,NaN,NaN,22.5688,26.6483,1337,765,99.4060,0.3590,0.5940,9.62555,69.5570,111.5250,114.5460,16.5580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61346,NaN,NaN,4.92048,NaN,NaN,0.00955413,NaN,NaN,157.811,NaN,NaN
33,1,0,0,1,1,1,1,1,1,0,0,0,0,152.649,NaN,NaN,22.9134,26.7507,1336,662,99.4630,0.3590,0.5370,9.61992,69.6200,111.5610,117.7910,14.9480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.60751,NaN,NaN,5.04777,NaN,NaN,0.0096626,NaN,NaN,157.706,NaN,NaN
