# epoch_wall_clock_ns=1787814270526139552
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,49,infer,2832184.677,2857907.277,25.723,0.128,1
det,50,prep,2857987.018,2862169.920,4.183,,1
det,50,infer,2862172.143,2889072.964,26.901,0.129,1
det,51,prep,2889150.686,2893863.439,4.713,,1
det,51,infer,2893866.106,2919993.965,26.128,0.130,1
det,52,prep,2920077.650,2924613.108,4.535,,1
det,52,infer,2924615.608,2949744.745,25.129,0.129,1
det,53,prep,2949828.986,2952483.113,2.654,,1
det,53,infer,2952485.001,2982864.763,30.380,0.122,1
det,54,prep,2982878.503,2986963.499,4.085,,1
det,54,infer,2986965.647,3010985.027,24.019,0.122,1
det,55,prep,3011077.508,3015038.133,3.961,,1
det,55,infer,3015041.040,3039516.179,24.475,0.135,1
det,56,prep,3039610.623,3044173.470,4.563,,1
det,56,infer,3044175.062,3073667.417,29.492,0.133,1
det,57,prep,3073758.176,3080439.058,6.681,,1
det,57,infer,3080441.632,3111007.874,30.566,0.131,1
det,58,prep,3111094.763,3115115.184,4.020,,1
det,58,infer,3115117.129,3139290.397,24.173,0.126,1
det,59,prep,3139302.564,3142823.411,3.521,,1
det,59,infer,3142825.800,3171532.545,28.707,0.117,1
seg,0,prep,1280173.764,1292749.805,12.576,,1
seg,0,infer,1292753.064,1317240.833,24.488,0.444,1
seg,1,prep,1317340.555,1321398.365,4.058,,1
seg,1,infer,1321400.013,1346718.836,25.319,0.145,1
seg,2,prep,1346821.910,1355187.770,8.366,,1
seg,2,infer,1355189.604,1381712.499,26.523,0.129,1
seg,3,prep,1381810.462,1383317.108,1.507,,1
seg,3,infer,1383318.904,1413236.870,29.918,0.132,1
seg,4,prep,1413249.740,1417494.328,4.245,,1
seg,4,infer,1417496.865,1443791.335,26.294,0.142,1
seg,5,prep,1443883.186,1448196.904,4.314,,1
seg,5,infer,1448199.552,1479077.609,30.878,0.164,1
seg,6,prep,1479158.627,1482694.568,3.536,,1
seg,6,infer,1482696.642,1509577.407,26.881,0.146,1
seg,7,prep,1509591.296,1513417.125,3.826,,1
seg,7,infer,1513419.514,1539857.539,26.438,0.150,1
seg,8,prep,1539939.853,1543526.738,3.587,,1
seg,8,infer,1543529.423,1569679.578,26.150,0.154,1
seg,9,prep,1569692.597,1575215.683,5.523,,1
seg,9,infer,1575218.702,1601318.820,26.100,0.137,1
seg,10,prep,1601401.690,1605362.037,3.960,,1
seg,10,infer,1605364.630,1631383.378,26.019,0.163,1
seg,11,prep,1631467.470,1636182.853,4.715,,1
seg,11,infer,1636186.150,1661956.342,25.770,0.144,1
seg,12,prep,1662044.416,1668421.650,6.377,,1
seg,12,infer,1668425.094,1693932.546,25.507,0.147,1
seg,13,prep,1694019.083,1698976.114,4.957,,1
seg,13,infer,1698979.096,1724820.214,25.841,0.147,1
seg,14,prep,1724898.992,1729038.154,4.139,,1
seg,14,infer,1729040.987,1754741.180,25.700,0.146,1
seg,15,prep,1754821.902,1761004.209,6.182,,1
seg,15,infer,1761007.080,1786829.513,25.822,0.152,1
seg,16,prep,1786928.254,1790969.323,4.041,,1
seg,16,infer,1790971.934,1816940.738,25.969,0.146,1
seg,17,prep,1817028.774,1821699.473,4.671,,1
seg,17,infer,1821701.843,1849067.663,27.366,0.257,1
seg,18,prep,1849155.460,1856761.395,7.606,,1
seg,18,infer,1856763.858,1883598.327,26.834,0.160,1
seg,19,prep,1883680.309,1887384.508,3.704,,1
seg,19,infer,1887386.360,1913988.163,26.602,0.164,1
seg,20,prep,1914065.218,1916762.419,2.697,,1
seg,20,infer,1916764.419,1943638.165,26.874,0.140,1
seg,21,prep,1943651.999,1948760.882,5.109,,1
seg,21,infer,1948761.937,1973585.279,24.823,0.137,1
seg,22,prep,1973672.520,1979995.068,6.323,,1
seg,22,infer,1979997.327,2005579.816,25.582,0.146,1
seg,23,prep,2005663.909,2008753.035,3.089,,1
seg,23,infer,2008755.220,2035591.337,26.836,0.138,1
seg,24,prep,2035605.559,2039478.166,3.873,,1
seg,24,infer,2039480.999,2065821.228,26.340,0.175,1
seg,25,prep,2065900.821,2071339.240,5.438,,1
seg,25,infer,2071340.666,2098799.968,27.459,0.145,1
seg,26,prep,2098889.709,2103399.277,4.510,,1
seg,26,infer,2103401.555,2128512.489,25.111,0.148,1
seg,27,prep,2128603.137,2133338.595,4.735,,1
seg,27,infer,2133340.891,2159632.620,26.292,0.147,1
seg,28,prep,2159716.286,2164523.799,4.808,,1
seg,28,infer,2164526.596,2191155.806,26.629,0.155,1
seg,29,prep,2191244.546,2196769.707,5.525,,1
seg,29,infer,2196771.633,2222744.936,25.973,0.181,1
seg,30,prep,2222832.251,2228665.300,5.833,,1
seg,30,infer,2228668.003,2254577.473,25.909,0.144,1
seg,31,prep,2254666.825,2260374.652,5.708,,1
seg,31,infer,2260376.578,2285712.363,25.336,0.140,1
seg,32,prep,2285795.771,2289286.026,3.490,,1
seg,32,infer,2289288.118,2315421.607,26.133,0.142,1
seg,33,prep,2315507.773,2320014.268,4.506,,1
seg,33,infer,2320017.565,2346084.757,26.067,0.148,1
seg,34,prep,2346177.405,2350337.696,4.160,,1
seg,34,infer,2350339.844,2376430.407,26.091,0.164,1
seg,35,prep,2376443.907,2381436.753,4.993,,1
seg,35,infer,2381439.771,2407555.149,26.115,0.147,1
seg,36,prep,2407667.112,2413805.049,6.138,,1
seg,36,infer,2413807.382,2440032.704,26.225,0.146,1
seg,37,prep,2440119.407,2448169.806,8.050,,1
seg,37,infer,2448172.694,2474406.757,26.234,0.158,1
seg,38,prep,2474493.257,2479620.454,5.127,,1
seg,38,infer,2479621.306,2505397.221,25.776,0.136,1
seg,39,prep,2505480.295,2509049.198,3.569,,1
seg,39,infer,2509051.346,2534735.798,25.684,0.194,1
seg,40,prep,2534818.261,2537932.683,3.114,,1
seg,40,infer,2537934.869,2563921.616,25.987,0.143,1
seg,41,prep,2563935.728,2569325.110,5.389,,1
seg,41,infer,2569327.777,2594388.155,25.060,0.178,1
seg,42,prep,2594475.915,2598974.983,4.499,,1
seg,42,infer,2598977.798,2624892.861,25.915,0.145,1
seg,43,prep,2624974.990,2629620.652,4.646,,1
seg,43,infer,2629623.096,2655361.604,25.739,0.147,1
seg,44,prep,2655448.344,2661700.115,6.252,,1
seg,44,infer,2661702.207,2687615.307,25.913,0.147,1
seg,45,prep,2687709.992,2693295.338,5.585,,1
seg,45,infer,2693297.634,2718694.975,25.397,0.243,1
seg,46,prep,2718785.567,2723793.599,5.008,,1
seg,46,infer,2723797.321,2749697.995,25.901,0.163,1
seg,47,prep,2749789.791,2753979.490,4.190,,1
seg,47,infer,2753981.193,2780884.070,26.903,0.147,1
seg,48,prep,2780971.644,2785359.176,4.388,,1
seg,48,infer,2785361.768,2811539.794,26.178,0.178,1
seg,49,prep,2811633.590,2816141.048,4.507,,1
seg,49,infer,2816142.844,2843051.720,26.909,0.173,1
seg,50,prep,2843137.683,2847396.289,4.259,,1
seg,50,infer,2847397.993,2872946.815,25.549,0.151,1
seg,51,prep,2873031.482,2877951.828,4.920,,1
seg,51,infer,2877954.958,2904400.779,26.446,0.143,1
seg,52,prep,2904497.501,2909219.459,4.722,,1
seg,52,infer,2909222.255,2934577.411,25.355,0.150,1
seg,53,prep,2934669.355,2937307.482,2.638,,1
seg,53,infer,2937309.186,2963323.507,26.014,0.132,1
seg,54,prep,2963337.544,2967426.503,4.089,,1
seg,54,infer,2967428.743,2994837.823,27.409,0.140,1
seg,55,prep,2994923.601,2998923.152,4.000,,1
seg,55,infer,2998925.244,3024823.085,25.898,0.146,1
seg,56,prep,3024905.122,3029570.190,4.665,,1
seg,56,infer,3029572.505,3058463.675,28.891,0.168,1
seg,57,prep,3058543.824,3065365.742,6.822,,1
seg,57,infer,3065368.816,3090736.268,25.367,0.160,1
seg,58,prep,3090821.546,3094991.578,4.170,,1
seg,58,infer,3094994.133,3124160.914,29.167,0.139,1
seg,59,prep,3124173.914,3127715.670,3.542,,1
seg,59,infer,3127718.336,3153730.695,26.012,0.173,1
pose,0,prep,1280201.542,1295543.024,15.341,,1
pose,0,infer,1295545.302,1324563.287,29.018,0.180,1
pose,1,prep,1324654.102,1328330.986,3.677,,1
pose,1,infer,1328333.172,1354864.900,26.532,0.149,1
pose,2,prep,1354998.622,1362819.706,7.821,,1
pose,2,infer,1362821.724,1386548.271,23.727,0.136,1
pose,3,prep,1386638.975,1388140.899,1.502,,1
pose,3,infer,1388142.436,1420647.973,32.506,0.125,1
pose,4,prep,1420662.269,1424853.357,4.191,,1
pose,4,infer,1424855.894,1449965.476,25.110,0.147,1
pose,5,prep,1450059.587,1454363.489,4.304,,1
pose,5,infer,1454365.915,1485755.268,31.389,0.170,1
pose,6,prep,1485834.101,1489295.282,3.461,,1
pose,6,infer,1489297.578,1513445.958,24.148,0.139,1
pose,7,prep,1513462.532,1517204.046,3.742,,1
pose,7,infer,1517206.120,1544368.163,27.162,0.145,1
pose,8,prep,1544444.700,1547957.122,3.512,,1
pose,8,infer,1547960.511,1574468.054,26.508,0.148,1
pose,9,prep,1574487.980,1579922.511,5.435,,1
pose,9,infer,1579924.955,1607141.128,27.216,0.140,1
