run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,1,1,50,1,1,1,0,0,0,0,7719.56,7776.08,7630.83,12.0474,39.2402,15369,275,97.9585,0.7860,0.0020,48.0712,10.4600,1049.9820,1515.9940,1.1620,11.3690,1424.3250,2946.7040,1.2680,11.6590,1327.8930,2668.8790,1.1990,48.0702,47.1565,47.6123
2,1,1,1,50,1,1,1,0,0,0,0,7658.76,7759.99,7565.59,11.9283,39.3673,15410,289,99.5334,0.7930,0.0080,47.8173,10.5540,1040.7830,1489.6220,1.7030,11.2210,1417.1590,2863.8210,1.0820,11.9720,1328.3040,2781.2910,1.3070,47.7066,47.8151,47.2512
3,1,1,1,50,1,1,1,0,0,0,0,7651.42,7775.09,7714.81,11.8955,39.3193,15545,242,97.8644,0.7860,0.0010,48.2384,11.7510,1048.8950,1701.5900,1.8500,11.1720,1387.2820,2451.8440,1.0870,10.4270,1282.6960,2442.6480,1.0890,47.2994,47.8155,48.2367
1,1,1,1,50,1,1,1,0,0,0,15,7830.31,7945.38,3217.15,12.5661,39.3446,15543,243,97.8654,0.7960,0.0020,48.501,4.1870,1469.0050,1832.6560,1.5540,2.1770,2070.9750,3010.0660,0.9870,28.1790,1149.6870,2059.5830,0.5820,47.9985,48.4999,17.4079
2,1,1,1,50,1,1,1,0,0,0,15,7880.83,7987.75,3244.51,12.2503,39.2561,15472,260,98.6985,0.8060,0.0020,48.7942,4.2430,1492.2770,1859.3430,1.7210,2.1640,2071.9300,3000.9250,0.9070,28.5560,1144.5560,2069.1020,0.5020,48.2903,48.7929,17.6427
3,1,1,1,50,1,1,1,0,0,0,15,7856.74,7970.73,3210.36,12.2826,39.2435,15444,313,97.9785,0.7900,0.0020,48.6614,4.1600,1477.7720,1861.6590,1.4330,2.1630,2017.4350,2960.5110,0.8200,27.9950,1138.9270,2042.7010,0.8120,48.1548,48.6604,17.4871
1,1,1,1,50,1,1,1,0,0,0,31,7957.35,8074.94,3233.35,12.1413,39.183,15317,239,99.4035,0.7550,0.0110,49.1787,2.9360,1551.0530,2017.5970,1.0590,2.0970,2391.4620,3423.2340,1.7400,28.2240,1142.3560,2264.2610,1.0030,48.6565,49.1777,17.8197
2,1,1,1,50,1,1,1,0,0,0,31,7936.03,8037.48,3205.54,12.3841,39.3178,15508,232,98.0580,0.7930,0.0020,48.9731,4.1760,1716.5930,2302.5080,1.3380,2.0880,2334.8110,3293.8480,1.7150,28.1060,1138.4020,2058.7910,0.5620,48.4501,48.9717,17.536
3,1,1,1,50,1,1,1,0,0,0,31,7826.3,7953.9,3215.66,12.3115,39.3158,15485,213,97.9060,0.7950,0.0100,48.5412,4.1850,1440.2850,1784.5050,1.6190,2.1340,2031.4500,2916.1660,1.2150,28.1640,1128.6790,1956.5680,0.8520,48.0188,48.5399,17.5225
1,1,1,1,50,1,1,1,0,0,15,0,7814.55,3789.18,7820.53,12.4081,39.1649,15268,204,98.0077,0.7440,0.0020,48.5042,2.0670,1506.4180,1756.1800,1.4520,27.8180,1368.3540,2892.7020,1.1320,0.9510,1528.9240,2111.4930,1.1230,48.0548,20.5156,48.5031
