run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,1,1,1,1,1,1,0,0,0,0,1457.95,1207.72,1199.15,4.04096,23.5701,17358,40,96.3160,21.5650,0.0010,88.0374,7.1620,32.4060,33.7850,0.5990,7.3220,42.7690,184.0220,0.6110,7.2020,30.6860,32.1500,0.5840,88.0321,87.7263,87.9911
2,1,1,1,1,1,1,1,0,0,0,0,1455.32,1211.88,1197.08,3.9155,23.4888,17478,26,96.6976,21.7580,0.0020,88.0435,7.2530,32.3440,32.9920,0.5930,7.2130,41.1850,43.5420,0.6140,7.2530,30.6520,31.8120,0.5860,87.9938,88.0392,87.9526
3,1,1,1,1,1,1,1,0,0,0,0,1456.63,1211.35,1198.12,3.92008,23.4979,17467,23,96.6852,21.6940,0.0030,88.0754,7.2050,32.3610,33.0810,0.5910,7.2450,41.1670,44.4240,0.6080,7.2450,30.6820,31.6920,0.5880,88.0723,87.9952,88.0335
1,1,1,1,1,1,1,1,0,0,0,15,1409.15,1171.91,356.343,5.06811,23.591,17641,27,98.0676,0.7080,0.0020,85.0022,0.3150,31.8040,32.3050,0.5090,0.3150,43.0750,44.4670,0.4900,26.4800,275.0540,282.6480,0.6370,84.9991,84.9597,24.482
2,1,1,1,1,1,1,1,0,0,0,15,1407.99,1172.14,355.379,4.96237,23.6225,17632,37,98.0001,0.7090,0.0030,84.9817,0.3150,31.7330,32.1980,0.5040,0.3150,43.0310,44.0350,0.4900,26.4970,276.6730,282.6670,0.5930,84.9315,84.9806,24.4311
3,1,1,1,1,1,1,1,0,0,0,15,1408.02,1172.18,355.268,4.90901,23.6584,17541,29,98.1357,0.7470,0.0020,84.9852,0.3540,31.8430,32.3230,0.5040,0.3140,42.8840,43.2330,0.4980,26.4460,276.7350,282.7040,0.3740,84.9351,84.9801,24.428
1,1,1,1,1,1,1,1,0,0,0,31,1407.41,1171.86,355.269,4.77299,23.6452,17620,34,98.0435,0.6700,0.0030,84.9601,0.3150,31.7760,32.0710,0.5190,0.3150,43.1180,43.8670,0.4880,26.5290,276.7610,282.6240,0.6220,84.9101,84.9591,24.429
2,1,1,1,1,1,1,1,0,0,0,31,1409.79,1171.23,357.049,5.03006,23.6765,17652,44,98.0862,0.7070,0.0030,84.9864,0.3140,31.8480,32.2570,0.5110,0.3540,48.0500,88.3170,0.5000,26.4430,275.0460,282.6400,0.6660,84.9856,84.9082,24.5276
3,1,1,1,1,1,1,1,0,0,0,31,1408.12,1172.27,355.956,4.90451,23.5487,17628,32,98.0498,0.6690,0.0010,84.9894,0.3150,31.9800,32.5710,0.4650,0.3150,43.7280,44.4720,0.5070,26.5040,275.4070,282.6660,0.6110,84.9393,84.9863,24.4677
1,1,1,1,1,1,1,1,0,0,15,0,1408.38,481.966,1158.07,3.87151,23.7018,17540,32,97.7486,0.0400,0.0020,84.9316,NaN,NaN,NaN,NaN,20.3550,378.0320,382.8320,0.4060,NaN,NaN,NaN,NaN,84.8948,33.0505,84.9252
