run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
2,0,0,1,17,1,1,1,0,16,16,16,NaN,NaN,1006.32,27.0936,13.3119,5477,363,96.2700,2.6820,0.0010,13.8136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.4950,288.4830,523.1850,0.3920,NaN,NaN,13.8007,NaN,NaN,5.81839,NaN,NaN,0.180338,NaN,NaN,1012.32
3,0,0,1,17,1,1,1,0,16,16,16,NaN,NaN,991.591,26.9565,13.371,5477,388,96.1583,2.7220,0.0020,13.6124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.1380,285.7530,523.4950,0.5980,NaN,NaN,13.5987,NaN,NaN,5.77839,NaN,NaN,0.177885,NaN,NaN,997.547
1,1,0,0,32,1,1,1,0,16,16,16,1389.85,NaN,NaN,24.9147,14.7523,630,410,95.8500,2.1380,0.0020,10.3128,58.2960,472.1630,588.2200,0.8270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3006,NaN,NaN,5.88451,NaN,NaN,0.0269906,NaN,NaN,1395.76,NaN,NaN
2,1,0,0,32,1,1,1,0,16,16,16,1399.02,NaN,NaN,25.555,14.7018,708,451,95.7589,2.1180,0.0020,10.4105,57.7610,474.5840,600.2940,0.7880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3981,NaN,NaN,5.99826,NaN,NaN,0.0263395,NaN,NaN,1405.05,NaN,NaN
3,1,0,0,32,1,1,1,0,16,16,16,1390.2,NaN,NaN,25.243,14.6119,608,409,95.8856,2.1340,0.0020,10.3283,58.2120,472.9500,575.9880,0.6060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3156,NaN,NaN,5.9724,NaN,NaN,0.0269059,NaN,NaN,1396.2,NaN,NaN
1,0,1,0,32,1,1,1,0,16,16,16,NaN,6035.79,NaN,42.6908,16.0924,6369,3329,80.9155,8.5110,0.0010,31.8059,NaN,NaN,NaN,NaN,18.7790,3080.5020,4010.7520,0.5610,NaN,NaN,NaN,NaN,NaN,31.7742,NaN,NaN,7.50234,NaN,NaN,45.6473,NaN,NaN,6088.94,NaN
2,0,1,0,32,1,1,1,0,16,16,16,NaN,6173.01,NaN,44.2134,16.147,6371,3927,83.1365,8.1090,0.0010,32.5795,NaN,NaN,NaN,NaN,18.1430,3145.3950,4094.2950,0.4330,NaN,NaN,NaN,NaN,NaN,32.5471,NaN,NaN,8.59594,NaN,NaN,46.8161,NaN,NaN,6228.42,NaN
3,0,1,0,32,1,1,1,0,16,16,16,NaN,5979.61,NaN,42.9392,16.2097,6351,3303,83.7750,8.4100,0.0010,31.5679,NaN,NaN,NaN,NaN,19.0490,3045.3280,3959.0510,0.4960,NaN,NaN,NaN,NaN,NaN,31.535,NaN,NaN,7.42752,NaN,NaN,45.3177,NaN,NaN,6032.36,NaN
1,0,0,1,32,1,1,1,0,16,16,16,NaN,NaN,1741.42,27.682,14.9925,5459,405,96.1515,1.5450,0.0020,13.6083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.1520,543.2790,981.2230,0.5310,NaN,NaN,13.5946,NaN,NaN,5.7718,NaN,NaN,0.178568,NaN,NaN,1747.37
2,0,0,1,32,1,1,1,0,16,16,16,NaN,NaN,1729.12,27.7726,14.9303,5470,400,95.9308,1.5560,0.0020,13.5195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.4520,540.3330,973.3600,0.5410,NaN,NaN,13.5041,NaN,NaN,5.85073,NaN,NaN,0.181641,NaN,NaN,1735.15
