run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
2,0,0,1,17,1,1,1,0,16,16,16,NaN,NaN,980.319,26.3049,13.4593,5482,392,96.2283,2.7580,0.0020,13.4348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.7200,283.3620,501.9940,0.4280,NaN,NaN,13.4215,NaN,NaN,5.71837,NaN,NaN,9.27734e-05,NaN,NaN,986.038
3,0,0,1,17,1,1,1,0,16,16,16,NaN,NaN,980.22,26.4607,13.3066,5466,380,96.3425,2.7570,0.0020,13.4387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.7120,283.1290,506.7060,0.4710,NaN,NaN,13.424,NaN,NaN,5.69353,NaN,NaN,8.6263e-05,NaN,NaN,985.913
1,1,0,0,32,1,1,1,0,16,16,16,1392.81,NaN,NaN,24.7383,14.474,667,560,95.7244,2.1350,0.0020,10.3225,58.2390,473.3230,589.1740,0.7630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3102,NaN,NaN,5.86151,NaN,NaN,9.11458e-05,NaN,NaN,1398.67,NaN,NaN
2,1,0,0,32,1,1,1,0,16,16,16,1396.22,NaN,NaN,25.1394,14.8814,658,428,95.7711,2.1270,0.0020,10.3664,57.9970,473.0420,601.3150,0.7490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3537,NaN,NaN,5.88948,NaN,NaN,0.000114339,NaN,NaN,1402.1,NaN,NaN
3,1,0,0,32,1,1,1,0,16,16,16,1395.42,NaN,NaN,24.9697,14.7394,645,380,95.8311,2.1260,0.0020,10.3676,57.9740,473.8380,607.4250,0.6360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3556,NaN,NaN,5.90036,NaN,NaN,0.000171305,NaN,NaN,1401.32,NaN,NaN
1,0,1,0,32,1,1,1,0,16,16,16,NaN,2290.66,NaN,27.7611,15.9153,6079,466,96.9565,1.1970,0.0010,17.5682,NaN,NaN,NaN,NaN,34.1960,698.9660,1294.9350,0.7750,NaN,NaN,NaN,NaN,NaN,17.5541,NaN,NaN,5.93903,NaN,NaN,9.15527e-05,NaN,NaN,2296.6,NaN
2,0,1,0,32,1,1,1,0,16,16,16,NaN,2309.03,NaN,27.5327,15.9873,6091,429,96.7800,1.1870,0.0010,17.7133,NaN,NaN,NaN,NaN,33.9250,700.5640,1297.5610,1.1210,NaN,NaN,NaN,NaN,NaN,17.6993,NaN,NaN,5.93024,NaN,NaN,9.8877e-05,NaN,NaN,2314.96,NaN
3,0,1,0,32,1,1,1,0,16,16,16,NaN,2298.08,NaN,28.6306,16.1097,6078,459,96.8335,1.1910,0.0010,17.6493,NaN,NaN,NaN,NaN,34.0370,699.2800,1306.2030,1.1850,NaN,NaN,NaN,NaN,NaN,17.6357,NaN,NaN,5.98674,NaN,NaN,8.2194e-05,NaN,NaN,2304.07,NaN
1,0,0,1,32,1,1,1,0,16,16,16,NaN,NaN,1736.26,27.9259,15.006,5459,424,96.1385,1.5490,0.0020,13.5803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.2460,542.0520,992.1800,0.5980,NaN,NaN,13.5654,NaN,NaN,5.78601,NaN,NaN,0.000101725,NaN,NaN,1742.05
2,0,0,1,32,1,1,1,0,16,16,16,NaN,NaN,1764.31,27.7523,15.012,5460,448,96.1015,1.5270,0.0020,13.7751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.6180,547.0690,989.9870,0.6220,NaN,NaN,13.7612,NaN,NaN,5.66023,NaN,NaN,9.19596e-05,NaN,NaN,1769.97
3,0,0,1,32,1,1,1,0,16,16,16,NaN,NaN,1728.87,27.4557,14.8188,5464,397,95.9608,1.5580,0.0020,13.4956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.5200,540.8360,956.6530,0.4680,NaN,NaN,13.4819,NaN,NaN,5.7768,NaN,NaN,9.31803e-05,NaN,NaN,1734.65
1,1,0,0,63,1,1,1,0,16,16,16,2998.44,NaN,NaN,21.0644,17.7121,715,441,95.4308,1.0530,0.0020,12.3613,48.6180,1102.3080,1369.7720,0.7620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.3492,NaN,NaN,5.97853,NaN,NaN,0.000106201,NaN,NaN,3004.42,NaN,NaN
2,1,0,0,63,1,1,1,0,16,16,16,2987.82,NaN,NaN,21.0035,17.7357,662,485,95.3033,1.0500,0.0020,12.3967,48.4800,1085.7940,1373.9860,0.9890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.384,NaN,NaN,6.02829,NaN,NaN,8.58561e-05,NaN,NaN,2993.85,NaN,NaN
3,1,0,0,63,1,1,1,0,16,16,16,3001.79,NaN,NaN,20.8392,17.6513,727,494,95.4108,1.0460,0.0020,12.4453,48.2900,1089.1540,1378.2120,0.8000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4329,NaN,NaN,5.92408,NaN,NaN,8.58561e-05,NaN,NaN,3007.71,NaN,NaN
1,0,1,0,63,1,1,1,0,16,16,16,NaN,4665.96,NaN,26.2023,20.1082,6013,471,96.2040,0.5940,0.0010,20.2292,NaN,NaN,NaN,NaN,29.7020,1586.9290,2686.5020,0.8300,NaN,NaN,NaN,NaN,NaN,20.2151,NaN,NaN,6.43023,NaN,NaN,8.54492e-05,NaN,NaN,4672.39,NaN
2,0,1,0,63,1,1,1,0,16,16,16,NaN,4767.4,NaN,25.564,20.1593,6051,546,96.0255,0.5850,0.0010,20.5497,NaN,NaN,NaN,NaN,29.2330,1581.9510,2751.7590,1.1460,NaN,NaN,NaN,NaN,NaN,20.5356,NaN,NaN,5.81977,NaN,NaN,9.07389e-05,NaN,NaN,4773.22,NaN
3,0,1,0,63,1,1,1,0,16,16,16,NaN,4647.6,NaN,24.5873,20.0982,6067,438,95.8026,0.6020,0.0010,19.947,NaN,NaN,NaN,NaN,30.1130,1564.7300,2639.9420,0.9460,NaN,NaN,NaN,NaN,NaN,19.9335,NaN,NaN,5.80674,NaN,NaN,9.64355e-05,NaN,NaN,4653.41,NaN
1,0,0,1,63,1,1,1,0,16,16,16,NaN,NaN,3767.15,23.2054,18.1106,5443,437,95.6527,0.7390,0.0010,16.2596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.9430,1322.0440,2289.9400,0.6530,NaN,NaN,16.2464,NaN,NaN,5.57929,NaN,NaN,0.000111491,NaN,NaN,3772.73
2,0,0,1,63,1,1,1,0,16,16,16,NaN,NaN,3726.72,23.0937,18.0743,5431,359,95.7653,0.7440,0.0010,16.1373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.2240,1317.3290,2316.1580,0.8400,NaN,NaN,16.1238,NaN,NaN,5.74405,NaN,NaN,0.000100911,NaN,NaN,3732.46
3,0,0,1,63,1,1,1,0,16,16,16,NaN,NaN,3762.35,23.3826,17.9323,5444,313,95.9381,0.7960,0.0010,16.3462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.7440,1326.5090,2366.6850,0.2930,NaN,NaN,16.3329,NaN,NaN,5.79817,NaN,NaN,9.31803e-05,NaN,NaN,3768.15
