n_runs,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose,total_time_ms_nopp_det,total_time_ms_nopp_seg,total_time_ms_nopp_pose
3,1,0,0,1,1,1,1,0,0,0,0,388.8760,NaN,NaN,13.2950,12.6954,3005.3333,668.3333,99.1973,0.0450,0.0010,22.0434,27.2430,272.3333,288.4843,0.1843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0298,NaN,NaN,7.3147,NaN,NaN,0.0001,NaN,NaN,396.1910,NaN,NaN,396.1910,NaN,NaN
3,0,1,0,1,1,1,1,0,0,0,0,NaN,470.7367,NaN,16.7199,13.0373,6786.0000,768.6667,99.5463,0.0340,0.0010,29.5097,NaN,NaN,NaN,NaN,20.3450,374.7720,383.9663,0.1997,NaN,NaN,NaN,NaN,NaN,29.4953,NaN,NaN,7.1576,NaN,NaN,0.0001,NaN,NaN,477.8943,NaN,NaN,477.8943,NaN
3,0,0,1,1,1,1,1,0,0,0,0,NaN,NaN,323.9400,18.4250,12.7423,6132.6667,683.6667,99.1590,0.0460,0.0010,21.8025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5397,262.7610,282.7800,0.1967,NaN,NaN,21.7898,NaN,NaN,7.2251,NaN,NaN,0.0001,NaN,NaN,331.1650,NaN,NaN,331.1650
3,1,1,0,1,1,1,1,0,0,0,0,1043.5433,873.7493,NaN,13.3899,13.6617,9594.0000,1187.0000,95.9075,20.3917,0.0010,56.4864,10.1733,32.8890,34.9907,0.5773,10.1960,43.1320,47.0377,0.6040,NaN,NaN,NaN,NaN,56.4688,56.4275,NaN,8.1851,7.7393,NaN,0.0001,0.0001,NaN,1051.7267,881.4887,NaN,1051.7300,881.4887,NaN
3,1,0,1,1,1,1,1,0,0,0,0,921.4187,NaN,759.8307,14.5953,13.4349,8991.6667,1337.0000,94.9067,22.9733,0.0010,49.7683,11.4753,32.9837,33.6883,0.5757,NaN,NaN,NaN,NaN,11.4753,32.2540,34.8283,0.5887,49.7514,NaN,49.7099,8.1613,NaN,7.8370,0.0001,NaN,0.0001,929.5797,NaN,767.6683,929.5800,NaN,767.6677
3,0,1,1,1,1,1,1,0,0,0,0,NaN,896.7017,882.3940,14.6188,13.7342,12605.3333,981.6667,95.5714,19.2777,0.0010,57.9732,NaN,NaN,NaN,NaN,9.6163,43.4470,48.1297,0.5840,9.6273,32.3257,35.0120,0.5853,NaN,57.9256,57.9330,NaN,8.0087,8.2918,NaN,0.0001,0.0001,NaN,904.7107,890.6863,NaN,904.7103,890.6860
3,1,1,1,1,1,1,1,0,0,0,0,1482.3333,1234.0433,1218.5433,13.6805,14.3243,15596.3333,1711.3333,95.9911,20.6530,0.0033,80.6419,6.8807,32.9433,34.9410,0.5823,6.8807,43.4037,48.1153,0.6077,6.8807,32.2433,34.8017,0.5907,80.5819,80.5862,80.5401,8.3083,7.9038,8.3518,0.0001,0.0001,0.0001,1490.6400,1241.9500,1226.8933,1490.6400,1241.9467,1226.8967
