run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,1,0,10,1,1,1,0,0,0,0,1318.64,1293.49,NaN,15.2769,25.2681,9198,167,96.0212,3.7000,0.0020,34.07,18.3030,191.6020,399.2400,1.0230,17.9520,273.3030,640.6270,1.0100,NaN,NaN,NaN,NaN,34.0027,34.0692,NaN
2,1,1,0,10,1,1,1,0,0,0,0,1315.29,1290.1,NaN,15.1154,25.2378,9138,179,94.7721,3.6880,0.0010,33.9817,18.2430,192.6040,407.9830,1.0530,17.8860,274.0370,666.5280,1.0230,NaN,NaN,NaN,NaN,33.9146,33.9809,NaN
3,1,1,0,10,1,1,1,0,0,0,0,1323.94,1298.89,NaN,15.1882,25.2453,9149,162,94.8615,3.6430,0.0020,34.1224,17.8210,195.0370,433.1280,1.1030,17.7020,275.8460,662.7300,1.0410,NaN,NaN,NaN,NaN,34.1216,34.0469,NaN
1,1,1,0,10,1,1,1,0,0,15,0,1368.24,840.026,NaN,16.1672,25.3264,9140,250,97.1553,3.2700,0.0020,35.0795,5.6830,267.5520,365.6300,0.6350,26.1990,259.4070,605.6810,0.8330,NaN,NaN,NaN,NaN,35.0785,19.518,NaN
2,1,1,0,10,1,1,1,0,0,15,0,1343.81,813.119,NaN,15.9169,25.2989,9198,170,96.8782,3.4380,0.0010,34.3925,7.0320,243.2710,348.5790,0.6200,26.2910,250.3210,475.8230,0.8130,NaN,NaN,NaN,NaN,34.3916,18.8351,NaN
3,1,1,0,10,1,1,1,0,0,15,0,1362.38,874.686,NaN,16.3513,25.3137,9068,262,95.8417,3.2200,0.0020,35.0926,4.6500,271.9690,372.8020,0.6210,26.7500,269.9380,690.8370,0.9000,NaN,NaN,NaN,NaN,35.0916,20.2748,NaN
1,1,1,0,10,1,1,1,0,0,31,0,1332.08,806.551,NaN,15.6443,25.335,9160,204,95.8209,3.4470,0.0020,34.0912,6.8930,238.9540,331.8280,0.5830,26.6620,247.2960,462.7420,0.8380,NaN,NaN,NaN,NaN,34.0903,18.7175,NaN
2,1,1,0,10,1,1,1,0,0,31,0,1345.04,805.494,NaN,15.9025,25.2137,9194,220,97.1197,3.4220,0.0020,34.3899,7.3500,242.0360,345.2070,0.5760,26.1740,248.0330,463.1840,0.8290,NaN,NaN,NaN,NaN,34.3891,18.6418,NaN
3,1,1,0,10,1,1,1,0,0,31,0,1333.02,811.483,NaN,15.8227,25.3224,9187,243,95.7629,3.4590,0.0020,34.1245,6.7590,243.8760,340.5960,0.6260,26.7590,250.5840,471.7610,0.8450,NaN,NaN,NaN,NaN,34.1235,18.7556,NaN
1,1,1,0,10,1,1,1,0,15,0,0,569.46,1285.29,NaN,15.4178,25.2558,9021,174,97.1628,4.0990,0.0020,32.7175,26.2730,160.0920,203.4580,0.4040,13.4300,341.2280,661.9160,0.4870,NaN,NaN,NaN,NaN,12.6168,32.7166,NaN
2,1,1,0,10,1,1,1,0,15,0,0,570.085,1281.05,NaN,15.2972,25.2691,9031,186,97.3281,4.1000,0.0020,32.7153,26.2800,160.2540,202.4910,0.4090,13.5110,333.3940,650.1170,0.4620,NaN,NaN,NaN,NaN,12.6363,32.7145,NaN
3,1,1,0,10,1,1,1,0,15,0,0,568.655,1284.1,NaN,15.6056,25.373,9037,184,97.3523,4.0920,0.0010,32.5684,26.2270,159.8370,204.5920,0.4330,13.6390,348.1910,650.7260,0.4420,NaN,NaN,NaN,NaN,12.5803,32.5675,NaN
1,1,1,0,10,1,1,1,0,15,15,0,1322.37,1300.93,NaN,15.3391,25.3201,9148,202,95.9688,3.6670,0.0020,34.2164,17.9470,191.4380,402.4730,1.0610,17.7130,274.1450,619.6300,1.0290,NaN,NaN,NaN,NaN,34.1501,34.2155,NaN
2,1,1,0,10,1,1,1,0,15,15,0,1321.17,1296.37,NaN,15.2233,25.3865,9117,196,96.1061,3.6630,0.0080,34.1032,18.1570,191.4590,394.1240,0.9840,17.9620,274.8990,648.3680,1.0990,NaN,NaN,NaN,NaN,34.0371,34.1019,NaN
3,1,1,0,10,1,1,1,0,15,15,0,1318.87,1295.78,NaN,15.3152,25.3553,9174,224,95.9294,3.6620,0.0020,34.0743,18.0000,190.9320,393.5610,1.0560,17.9220,274.3270,626.3350,1.1190,NaN,NaN,NaN,NaN,34.0261,34.0735,NaN
1,1,1,0,10,1,1,1,0,15,31,0,1340.56,809.206,NaN,16.1153,25.195,9168,184,96.9427,3.3990,0.0010,34.2801,7.1100,239.9540,333.3180,1.4020,26.2920,249.5680,458.2070,0.8090,NaN,NaN,NaN,NaN,34.2793,18.714,NaN
2,1,1,0,10,1,1,1,0,15,31,0,1343.1,807.939,NaN,15.8488,25.4345,9205,180,96.8745,3.4310,0.0020,34.3215,7.2530,241.2420,335.5540,0.5670,26.2420,248.4950,464.9970,0.8450,NaN,NaN,NaN,NaN,34.3207,18.7103,NaN
3,1,1,0,10,1,1,1,0,15,31,0,1343.22,813.982,NaN,15.8177,25.3027,9198,222,96.9185,3.4000,0.0020,34.3844,7.0340,242.1920,340.9020,1.1590,26.3000,249.5810,495.3880,1.0950,NaN,NaN,NaN,NaN,34.3835,18.8889,NaN
1,1,1,0,10,1,1,1,0,31,0,0,576.205,1287.92,NaN,15.4785,25.1981,9096,188,97.3272,4.0570,0.0020,32.7617,26.2520,160.8640,208.7120,0.4220,13.3410,344.0850,636.9380,0.4870,NaN,NaN,NaN,NaN,12.7737,32.7608,NaN
2,1,1,0,10,1,1,1,0,31,0,0,573.648,1284.41,NaN,15.4656,25.3051,9071,200,97.0700,4.0690,0.0020,32.6192,26.3340,159.9830,209.2380,0.4240,13.4600,343.8770,652.3230,0.5170,NaN,NaN,NaN,NaN,12.7189,32.6184,NaN
3,1,1,0,10,1,1,1,0,31,0,0,569.218,1282.95,NaN,15.4783,25.2566,9071,229,97.2366,4.1010,0.0010,32.6265,26.2850,159.9350,199.8620,0.5570,13.5130,342.3710,636.5400,0.6110,NaN,NaN,NaN,NaN,12.6034,32.6257,NaN
1,1,1,0,10,1,1,1,0,31,15,0,571.482,1280.92,NaN,15.5644,25.274,9047,204,97.3281,4.0650,0.0020,32.6788,26.3080,160.1770,202.5060,0.4310,13.4080,338.3710,646.6160,0.5040,NaN,NaN,NaN,NaN,12.663,32.6768,NaN
2,1,1,0,10,1,1,1,0,31,15,0,569.191,1283.8,NaN,15.5049,25.2075,9024,183,97.3266,4.0920,0.0020,32.6206,26.2270,159.5920,201.5810,0.4490,13.5610,340.8260,649.1830,0.4970,NaN,NaN,NaN,NaN,12.6061,32.6198,NaN
3,1,1,0,10,1,1,1,0,31,15,0,569.65,1288.07,NaN,15.583,25.3245,9053,206,97.6141,4.0500,0.0020,32.8052,26.2050,159.3710,201.5110,0.4280,13.3560,343.0260,645.8690,0.5560,NaN,NaN,NaN,NaN,12.6103,32.8044,NaN
1,1,1,0,10,1,1,1,0,31,31,0,1313.03,1290.71,NaN,15.0336,25.3879,9134,203,95.4403,3.6930,0.0020,33.9436,18.0740,190.5130,410.1810,1.1230,17.9560,272.8550,630.2980,0.9260,NaN,NaN,NaN,NaN,33.8765,33.9421,NaN
2,1,1,0,10,1,1,1,0,31,31,0,1316.9,1294.48,NaN,15.1883,25.1795,9140,207,95.7867,3.6690,0.0010,34.0443,18.0330,190.3090,393.6210,1.0620,17.9160,273.5130,648.4270,1.1440,NaN,NaN,NaN,NaN,33.9772,34.0435,NaN
3,1,1,0,10,1,1,1,0,31,31,0,1317.06,1294.82,NaN,15.1066,25.2185,9161,195,95.9794,3.6690,0.0020,34.0488,18.0310,189.7170,390.5060,1.0300,17.9530,274.8220,638.4700,1.0090,NaN,NaN,NaN,NaN,33.9817,34.048,NaN
1,1,0,1,10,1,1,1,0,0,0,0,1245.48,NaN,1185.02,16.8817,24.9606,8506,161,95.3890,3.9770,0.0010,31.7666,19.4970,190.9690,378.3000,1.0700,NaN,NaN,NaN,NaN,19.4580,232.1750,585.3560,1.0270,31.7323,NaN,31.7658
2,1,0,1,10,1,1,1,0,0,0,0,1242.81,NaN,1182.71,16.9441,24.697,8585,173,95.2626,3.9850,0.0020,31.7434,19.5350,189.3670,337.7780,1.0720,NaN,NaN,NaN,NaN,19.3390,229.9860,535.7080,1.0380,31.7086,NaN,31.7426
3,1,0,1,10,1,1,1,0,0,0,0,1247.62,NaN,1178.5,17.1405,25.0009,8521,192,95.2100,3.9530,0.0010,31.7306,19.2970,189.4760,342.6150,1.1320,NaN,NaN,NaN,NaN,19.5710,232.6620,614.5680,1.0300,31.7294,NaN,31.6714
1,1,0,1,10,1,1,1,0,0,0,15,1287.56,NaN,628.537,17.8492,24.8225,8755,171,96.0897,3.8600,0.0020,32.1822,11.9710,232.8530,334.6320,1.0870,NaN,NaN,NaN,NaN,26.2430,192.9400,383.9190,0.7380,32.1813,NaN,14.7437
2,1,0,1,10,1,1,1,0,0,0,15,1283.98,NaN,622.868,17.9735,24.7818,8686,164,95.9006,3.9060,0.0020,32.0925,12.1070,232.4250,352.2550,1.2000,NaN,NaN,NaN,NaN,26.2850,192.1620,355.6370,0.5550,32.0917,NaN,14.5976
3,1,0,1,10,1,1,1,0,0,0,15,1285.26,NaN,626.73,18.0535,24.8174,8717,243,95.8655,3.8670,0.0010,32.1313,11.9130,231.7700,338.3440,1.3350,NaN,NaN,NaN,NaN,26.2870,193.5810,366.6930,0.5170,32.1303,NaN,14.6726
1,1,0,1,10,1,1,1,0,0,0,31,1284.91,NaN,625.46,18.0767,24.8229,8761,179,95.8819,3.9090,0.0020,32.1127,12.0020,231.7900,337.5700,0.5920,NaN,NaN,NaN,NaN,26.3100,193.1720,363.7440,0.5560,32.1117,NaN,14.623
2,1,0,1,10,1,1,1,0,0,0,31,1286.29,NaN,631.557,18.121,24.808,8684,192,95.8084,3.8660,0.0010,32.1345,11.7940,234.8800,345.3580,1.2520,NaN,NaN,NaN,NaN,26.2840,195.9090,419.2420,0.6390,32.1336,NaN,14.7618
3,1,0,1,10,1,1,1,0,0,0,31,1286.6,NaN,625.933,17.7806,24.9725,8731,140,96.1168,3.9360,0.0020,32.1655,12.0800,232.4670,344.4990,0.5560,NaN,NaN,NaN,NaN,26.2250,192.4290,364.1580,0.5670,32.1645,NaN,14.6347
