run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,1,1,10,1,1,1,0,0,0,0,1737.17,1650.89,1616.19,12.6922,26.5076,15790,233,97.5673,3.6150,0.0030,46.5691,11.6490,195.8880,378.4470,1.1010,12.0510,277.6290,669.5360,1.0400,11.9700,249.1570,628.5260,1.0090,46.5636,46.4226,46.4919
2,1,1,1,10,1,1,1,0,0,0,0,1747.78,1662.25,1623.01,12.7999,26.5869,15820,263,96.6372,3.5790,0.0120,46.8314,11.8000,199.3270,402.8440,1.0470,11.7600,275.6730,655.8760,1.0630,11.8000,250.9660,680.9330,1.0510,46.8275,46.686,46.7494
3,1,1,1,10,1,1,1,0,0,0,0,1730.86,1656.31,1605.41,12.5621,26.4914,15758,265,97.7453,3.6530,0.0020,46.5217,12.0430,196.9930,402.0280,0.9810,11.7220,275.8370,673.7370,1.0690,12.0430,244.1410,670.5690,1.1200,46.4544,46.5206,46.3762
1,1,1,1,10,1,1,1,0,0,0,15,1780.69,1696.88,641.712,13.5806,26.5152,15808,290,96.8464,3.7030,0.0020,47.5189,4.7270,289.2770,458.9860,1.2050,4.7270,403.6040,693.0240,1.0560,26.5120,195.5940,388.3640,0.4700,47.5179,47.4436,15.0806
2,1,1,1,10,1,1,1,0,0,0,15,1777.33,1701.37,640.084,13.6513,26.5531,15851,272,96.8564,3.6990,0.0020,47.5679,4.7610,285.5480,455.1180,1.2140,4.6830,418.7340,702.2180,1.0430,26.4830,197.0010,375.8720,0.5640,47.482,47.5606,14.9422
3,1,1,1,10,1,1,1,0,0,0,15,1763.16,1686.44,627.905,13.4051,26.4934,15809,272,97.9372,3.7390,0.0020,47.1398,4.8240,283.7810,450.1620,1.0180,4.7030,406.8520,692.0710,0.9200,27.0540,194.2530,388.4520,0.4290,47.0901,47.1372,14.6694
1,1,1,1,10,1,1,1,0,0,0,31,1761.21,1687.15,628.145,13.4339,26.6125,15839,251,96.1751,3.7210,0.0020,47.1195,4.8810,277.9830,449.0710,1.1170,4.7210,415.0740,688.5730,1.1090,26.9240,193.0020,357.0720,0.5620,47.0308,47.1184,14.7356
2,1,1,1,10,1,1,1,0,0,0,31,1774.66,1699.68,636.145,13.6491,26.3929,15820,295,96.8734,3.7050,0.0020,47.4972,4.8090,282.5800,444.0760,0.9900,4.6120,417.3350,688.9800,1.0820,26.5290,194.8830,378.6540,0.5540,47.411,47.4938,14.9081
3,1,1,1,10,1,1,1,0,0,0,31,1780.92,1703.6,650.497,13.5164,26.4657,15871,295,96.8172,3.6700,0.0020,47.6448,4.7350,293.0060,451.7700,0.9820,4.3800,432.1950,711.4960,1.1830,26.5580,198.8440,421.0040,0.5590,47.5582,47.6438,15.2389
1,1,1,1,10,1,1,1,0,0,15,0,1717.34,814.07,1590.82,12.8,26.4074,15727,326,98.2836,3.3730,0.0020,46.1631,2.8910,261.8770,356.1110,0.8430,27.0270,248.7100,464.0610,0.4790,2.7710,370.2460,559.6810,0.8980,46.1121,18.9099,46.1621
2,1,1,1,10,1,1,1,0,0,15,0,1718.81,812.308,1591.97,12.9039,26.3775,15711,250,98.3711,3.3360,0.0020,46.1592,2.8940,271.8740,356.2280,1.0470,27.0530,248.6820,482.5810,0.8320,2.8140,390.8090,625.6030,1.3290,46.0931,18.8461,46.1582
