run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,0,0,63,1,1,1,0,0,0,0,3337.77,NaN,NaN,12.4753,28.7645,1399,105,98.6046,0.9110,0.0010,14.28,47.1590,1156.2390,1501.8850,0.6560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2793,NaN,NaN
2,1,0,0,63,1,1,1,0,0,0,0,3322.9,NaN,NaN,12.4752,28.7621,1416,133,99.1138,0.9150,0.0020,14.2102,47.3920,1150.8110,1505.4400,0.6120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2095,NaN,NaN
3,1,0,0,63,1,1,1,0,0,0,0,3317.33,NaN,NaN,11.9921,28.8499,1354,102,95.3686,0.9150,0.0010,14.2147,47.3760,1144.5160,1500.5040,0.7300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2139,NaN,NaN
1,1,0,0,63,1,1,1,0,15,0,0,3326.77,NaN,NaN,12.4549,28.864,1361,121,95.3871,0.9160,0.0010,14.2085,47.3950,1150.7040,1477.1520,0.7650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2078,NaN,NaN
2,1,0,0,63,1,1,1,0,15,0,0,3326.62,NaN,NaN,12.8546,28.697,1387,141,95.4086,0.9110,0.0010,14.2761,47.1720,1148.7880,1513.9940,0.7920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2755,NaN,NaN
3,1,0,0,63,1,1,1,0,15,0,0,3345.33,NaN,NaN,12.3366,28.7771,1352,116,99.0762,0.9070,0.0010,14.3385,46.9670,1156.8800,1524.1660,0.5290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3379,NaN,NaN
1,1,0,0,63,1,1,1,0,31,0,0,3322.14,NaN,NaN,12.2198,28.857,1363,118,99.4615,0.9160,0.0010,14.2019,47.4190,1149.6070,1484.4610,0.6970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2012,NaN,NaN
2,1,0,0,63,1,1,1,0,31,0,0,3334.62,NaN,NaN,12.5022,28.7916,1432,121,99.4500,0.9110,0.0010,14.2793,47.1610,1154.9710,1524.8540,0.6300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2786,NaN,NaN
3,1,0,0,63,1,1,1,0,31,0,0,3320.97,NaN,NaN,12.5113,28.7568,1333,131,95.4436,0.9150,0.0010,14.2229,47.3490,1148.4420,1520.4620,0.7080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2222,NaN,NaN
1,0,1,0,63,1,1,1,0,0,0,0,NaN,4583.09,NaN,17.3313,31.2577,7521,17,95.8545,0.5980,0.0020,20.0657,NaN,NaN,NaN,NaN,33.5460,1693.9960,3078.2300,0.8560,NaN,NaN,NaN,NaN,NaN,20.0651,NaN
