run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s
1,1,1,1,1,1,1,1,0,0,0,0,1458.4,1212.68,1199.52,4.00256,24.1749,17476,48,96.8625,21.6530,0.0010,88.1718,7.1920,32.3840,33.1650,0.5960,7.2310,41.2120,43.4150,0.6020,7.1920,30.6870,31.7690,0.5900,88.1707,88.0908,88.1294
2,1,1,1,1,1,1,1,0,0,0,0,1456.54,1209.77,1198.17,3.98693,24.1284,17325,35,96.4056,21.6920,0.0010,88.0328,7.2040,32.3660,32.7130,0.5900,7.2840,41.4340,88.0270,0.6120,7.2040,30.7060,33.2200,0.5820,88.028,87.8732,87.9864
3,1,1,1,1,1,1,1,0,0,0,0,1457.63,1212.15,1198.92,3.94764,24.1035,17470,33,96.9684,21.6920,0.0020,88.1295,7.2180,32.3650,33.0050,0.5860,7.2180,41.1510,43.0030,0.6050,7.2180,30.6970,32.0480,0.5870,88.1263,88.0494,88.0878
1,1,1,1,1,1,1,1,0,0,0,15,1408.57,1172.6,355.465,4.83481,23.978,17598,35,98.2554,0.8220,0.0090,85.0111,0.3910,32.0100,32.4310,0.4970,0.3520,43.2460,43.9080,0.4850,26.3340,276.7230,282.6770,2.3620,84.9615,85.0052,24.4285
2,1,1,1,1,1,1,1,0,0,0,15,1406.83,1170.97,355.439,4.75082,24.0454,17527,43,97.7845,0.5170,0.0020,84.8963,0.2390,31.3720,32.2370,0.4990,0.2390,43.1820,43.8610,0.4970,26.7780,276.6920,282.6660,0.3470,84.8449,84.8925,24.4253
3,1,1,1,1,1,1,1,0,0,0,15,1408.82,1171.81,356.102,4.85381,24.1447,17628,31,98.2538,0.8600,0.0020,84.9911,0.3910,31.8860,32.4220,0.5020,0.3910,42.6970,43.4830,0.4790,26.2990,275.4670,282.6570,0.6360,84.9899,84.9494,24.4749
1,1,1,1,1,1,1,1,0,0,0,31,1406.64,1171.05,355.55,4.89052,24.1131,17575,42,97.8325,0.5570,0.0030,84.8963,0.2390,31.3920,31.8710,0.5060,0.2390,43.1610,44.1540,0.5040,26.7610,276.6190,282.7330,0.6560,84.8466,84.8943,24.4303
2,1,1,1,1,1,1,1,0,0,0,31,1409.88,1171.47,357.233,5.12085,24.0526,17660,44,98.2888,0.8200,0.0020,84.9981,0.3510,31.5490,32.1890,0.4990,0.4290,46.8180,86.9950,0.4800,26.2760,274.9940,282.6330,0.6810,84.9971,84.9194,24.5265
3,1,1,1,1,1,1,1,0,0,0,31,1407.23,1171.37,355.852,5.00423,24.1332,17663,38,97.8742,0.5950,0.0020,84.9229,0.2780,31.3820,31.9560,0.5080,0.2380,43.0540,43.4470,0.5080,26.7000,276.1550,282.6160,0.5540,84.8729,84.9215,24.4289
1,1,1,1,1,1,1,1,0,0,15,0,1408.17,482.276,1158.03,3.89838,24.1903,17487,18,98.5082,0.0390,0.0010,84.9189,NaN,NaN,NaN,NaN,20.3600,378.0190,382.9630,0.2730,NaN,NaN,NaN,NaN,84.8792,33.0501,84.9152
2,1,1,1,1,1,1,1,0,0,15,0,1408.07,482.062,1158.12,3.93082,24.0635,17554,27,97.9431,0.0400,0.0010,84.9261,NaN,NaN,NaN,NaN,20.3560,377.9200,382.9770,0.2670,NaN,NaN,NaN,NaN,84.8883,33.0506,84.9244
