run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
1,1,1,0,1,1,1,1,1,1,0,15,15,15,510.215,828.18,NaN,42.5267,32.1511,8926,9181,68.1288,25.6160,0.0010,42.8793,12.8270,16.7550,26.9370,0.7200,12.7890,42.8110,356.4050,0.8220,NaN,NaN,NaN,NaN,30.3846,42.7005,NaN,5.31961,0.0181426,41.9797,NaN,515.553,875.48,NaN
2,1,1,0,1,1,1,1,1,1,0,15,15,15,510.999,827.196,NaN,42.8242,32.0623,8853,9930,67.5505,25.6800,0.0110,42.8035,12.8400,16.3430,24.5740,0.6820,12.8400,43.2600,379.4680,0.9180,NaN,NaN,NaN,NaN,30.3444,42.6257,NaN,5.2335,0.0155452,41.976,NaN,516.248,874.405,NaN
3,1,1,0,1,1,1,1,1,1,0,15,15,15,510.449,829.794,NaN,42.6381,32.0241,8845,8682,67.9183,25.6120,0.0010,42.8463,12.8060,16.4490,25.4460,0.7330,12.7680,45.5240,401.9970,0.8530,NaN,NaN,NaN,NaN,30.4101,42.6693,NaN,5.25498,0.0229587,41.9997,NaN,515.727,877.048,NaN
1,1,1,0,1,16,1,1,1,1,0,15,15,15,501.216,3069.03,NaN,51.517,33.2706,8458,11305,77.2811,9.7270,0.0010,37.6533,7.9730,22.5850,128.4580,0.7660,17.1280,1140.7840,2188.7350,1.1590,NaN,NaN,NaN,NaN,29.9184,37.479,NaN,5.24184,0.0344296,43.0298,NaN,506.492,3117.3,NaN
2,1,1,0,1,16,1,1,1,1,0,15,15,15,507.119,3079.2,NaN,51.9763,33.1515,8441,13283,77.5927,9.8890,0.0160,37.8473,8.0180,21.8000,101.5570,0.7960,16.9900,1150.7420,2201.9070,1.0780,NaN,NaN,NaN,NaN,30.0526,37.6697,NaN,5.24609,0.0389185,43.237,NaN,512.404,3127.69,NaN
3,1,1,0,1,16,1,1,1,1,0,15,15,15,505.514,3106.84,NaN,51.8755,33.2254,8386,12036,78.2878,10.0410,0.0030,37.7735,8.1710,20.7780,103.5010,0.8970,17.0290,1190.6920,2147.4820,1.1060,NaN,NaN,NaN,NaN,30.0159,37.5931,NaN,5.27802,0.0363955,43.2714,NaN,510.828,3155.39,NaN
1,1,1,0,1,32,1,1,1,1,0,15,15,15,503.291,5928.59,NaN,52.7676,34.9696,8298,12333,81.2681,8.6370,0.0020,37.5215,6.7950,23.4880,102.4590,0.8630,17.2360,2574.6510,3997.9710,1.2390,NaN,NaN,NaN,NaN,29.9583,37.3433,NaN,5.24843,0.0211372,43.2944,NaN,508.561,5977.14,NaN
2,1,1,0,1,32,1,1,1,1,0,15,15,15,500.212,5823.54,NaN,53.4758,35.0242,8330,13562,82.5311,8.4290,0.0010,37.2502,6.9670,24.6980,111.0430,0.9480,17.5520,2470.2910,3892.6250,1.2190,NaN,NaN,NaN,NaN,29.8635,37.0762,NaN,5.33759,0.0213128,43.5301,NaN,505.571,5872.41,NaN
3,1,1,0,1,32,1,1,1,1,0,15,15,15,505.407,5711.42,NaN,52.5718,35.1476,8386,11521,83.4800,8.9330,0.0020,36.9443,7.1310,20.8550,100.3180,0.8350,17.7130,2412.7200,3892.6470,0.9880,NaN,NaN,NaN,NaN,30.1014,36.7681,NaN,5.23916,0.0249662,43.1601,NaN,510.671,5759.82,NaN
1,1,1,0,1,48,1,1,1,1,0,15,15,15,515.599,8300.61,NaN,53.5136,36.9037,8387,11545,88.3024,7.5330,0.0020,36.7712,5.9100,21.6860,111.5820,0.8490,17.8850,3850.4460,5446.8710,1.1450,NaN,NaN,NaN,NaN,30.7404,36.594,NaN,5.32631,0.0238779,43.3085,NaN,520.949,8349.24,NaN
