run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
2,1,1,1,48,48,1,1,1,1,0,15,15,15,4164.24,9077.31,498.542,53.3119,39.6266,14388,13940,86.1215,0.9450,0.0020,44.2162,15.1270,728.3650,2287.8330,1.3840,13.4720,2569.3890,4718.5820,1.4020,0.3550,23.0410,53.4150,1.9470,27.2145,44.0295,34.0698,5.35709,0.0229376,45.9956,0.23579,4169.62,9128.66,504.135
3,1,1,1,48,48,1,1,1,1,0,15,15,15,4152.83,9136.68,496.372,52.7947,40.1259,14508,14043,86.8300,0.9400,0.0070,44.4889,15.0340,742.2070,1700.2480,0.9380,13.2730,2557.0030,4686.6910,0.9560,0.3130,35.2850,83.6190,2.5850,27.1706,44.3107,33.9382,5.35443,0.0240477,46.1193,0.233784,4158.21,9188.16,501.961
1,1,1,1,48,48,16,1,1,1,0,15,15,15,4238.72,9203.52,1747.91,50.679,41.3372,14494,14330,76.7953,0.8260,0.0020,46.4829,12.9000,629.1040,1392.1360,2.1810,11.5230,1927.7910,3629.3940,1.1290,4.4050,624.6920,1612.5080,2.0410,28.0241,46.3026,31.1983,5.36112,0.0281723,45.9577,0.235818,4244.11,9254.83,1753.51
2,1,1,1,48,48,16,1,1,1,0,15,15,15,4180.1,9284.68,1700.29,49.8957,40.6352,14388,13633,75.6995,0.8260,0.0020,46.3678,13.2160,636.6840,1873.8570,1.7880,11.4060,2085.8210,4139.2730,1.3830,4.4050,647.2760,1936.7770,2.0310,27.6668,46.1805,30.6531,5.38684,0.0349498,45.6662,0.237953,4185.52,9335.73,1705.91
3,1,1,1,48,48,16,1,1,1,0,15,15,15,4185.02,9304.52,1695.61,49.937,41.0544,14506,13629,75.4781,0.8270,0.0020,46.3412,13.2250,633.0840,1926.7430,1.2800,11.3750,2145.2220,4319.5890,1.2680,4.4080,615.8630,1926.6680,2.1490,27.774,46.1454,30.7157,5.35777,0.0350779,45.6443,0.238335,4190.42,9355.52,1701.21
1,1,1,1,48,48,32,1,1,1,0,15,15,15,4262.38,9519.2,3175.12,48.2608,42.6023,14351,13471,73.9873,0.7490,0.0080,47.877,11.3460,586.2980,1601.5230,1.0730,9.7310,1685.7640,3890.4990,1.5120,7.5640,901.6060,2126.6130,2.4820,28.5392,47.6956,30.0905,5.3418,0.0336551,45.0944,0.244306,4267.76,9569.64,3180.71
2,1,1,1,48,48,32,1,1,1,0,15,15,15,4262.46,9479.4,3206.85,48.1487,41.6773,14277,13326,73.8782,0.7500,0.0010,47.7339,11.3650,638.2760,1635.0190,1.5470,10.0230,1669.0770,3818.7140,0.7540,7.5760,900.0470,2129.3620,4.4280,28.4573,47.5557,30.0525,5.3162,0.0241474,44.9903,0.226574,4267.8,9529.71,3212.39
3,1,1,1,48,48,32,1,1,1,0,15,15,15,4273.37,9519,3252.2,47.8957,42.5106,14325,12627,73.8452,0.7510,0.0020,47.9416,11.3770,619.4760,1707.1860,1.5970,9.9150,1673.6100,3854.8520,1.4630,7.5850,873.9650,2269.6990,2.6620,28.4376,47.7615,30.1159,5.33552,0.0444873,45.5175,0.227633,4278.75,9569.85,3257.76
1,1,1,1,48,48,48,1,1,1,0,15,15,15,4311.76,9508.06,4691.61,48.3613,43.4178,14173,12820,72.4062,0.6350,0.0010,48.1787,9.6430,510.9730,1401.6900,1.2870,9.5240,1822.4010,4354.7190,1.1440,9.5240,1345.3520,2873.1610,2.0360,29.2054,47.9996,29.9091,5.43023,0.0246023,45.0085,0.231417,4317.22,9558.5,4697.27
2,1,1,1,48,48,48,1,1,1,0,15,15,15,4353.38,9478.94,4662.11,48.2839,43.5731,14271,15004,72.5147,0.6340,0.0020,48.3066,9.5060,549.9010,1547.3020,1.1980,9.5060,1709.9580,4339.5610,0.7850,9.5860,1054.5400,2464.5060,3.3490,29.3923,48.1176,29.8634,5.33647,0.0221997,44.9453,0.227508,4358.74,9529.22,4667.67
3,1,1,1,48,48,48,1,1,1,0,15,15,15,4316.43,9711.94,4632.38,49.6012,43.8598,14134,13244,71.0072,0.6350,0.0020,49.1082,9.5240,557.0470,1521.9100,1.1850,8.8890,1464.4390,3897.1920,1.2770,9.5240,1374.7270,3659.4110,1.7210,29.1129,48.9249,29.5265,5.35912,0.0279068,45.3447,0.228676,4321.81,9762.64,4637.97
1,1,1,1,48,48,63,1,1,1,0,15,15,15,4357.09,9997.9,5824.63,45.8396,44.084,14383,12046,71.0309,0.5580,0.0200,50.5342,9.0460,552.0200,1611.2840,1.3480,7.6510,1560.0530,3917.1910,0.8240,12.5530,1349.9080,3375.0250,2.6560,29.1673,50.3501,29.2706,5.40916,0.0346828,44.5036,0.224551,4362.53,10047.8,5830.26
2,1,1,1,48,48,63,1,1,1,0,15,15,15,4364.84,9953.31,5730.14,46.0994,44.4293,14365,12588,71.0304,0.5970,0.0010,50.361,9.2670,556.9460,1661.7160,1.1700,7.7550,1518.9960,3898.3470,1.3380,12.5280,1344.6370,3402.7510,3.4760,29.2104,50.182,29.2253,5.33067,0.0268798,44.7719,0.217466,4370.2,10003.4,5735.68
3,1,1,1,48,48,63,1,1,1,0,15,15,15,4406.47,9554.61,5829.42,47.782,44.4198,14291,12814,73.0993,0.5970,0.0060,48.4774,9.5450,458.3860,1545.2810,1.8260,9.1470,1705.4690,3890.8620,2.1340,10.0620,1395.7000,3017.8160,1.6510,29.7355,48.3003,29.6851,5.31585,0.0328984,44.7841,0.25304,4411.82,9604.71,5834.98
1,1,1,1,48,63,1,1,1,1,0,15,15,15,4167.98,11152.8,490.475,53.5524,42.093,14405,14008,85.3623,0.8270,0.0020,43.3026,13.2360,759.6690,2615.6370,2.3210,13.9450,3564.2430,6774.5570,1.5150,0.3940,51.8290,270.1740,2.4620,27.3179,43.1198,33.4687,5.34267,0.0213063,45.9991,0.23406,4173.35,11204.1,496.051
2,1,1,1,48,63,1,1,1,1,0,15,15,15,4138.71,11172.3,493.623,52.7981,42.023,14408,13156,85.6523,0.8680,0.0020,43.3234,13.2520,728.6330,2873.2350,0.8160,13.9620,3502.2920,6901.0220,1.3820,0.2760,38.8470,131.5060,1.6340,27.1173,43.1443,33.6225,5.34815,0.0207806,45.9545,0.228046,4144.08,11223.6,499.199
3,1,1,1,48,63,1,1,1,1,0,15,15,15,4180.09,11121.4,496.841,53.7624,42.486,14494,13366,88.6018,0.8640,0.0080,43.1851,13.2020,734.1930,2584.8240,1.0340,13.9880,3561.1700,7088.7100,1.6400,0.2750,45.4220,115.0850,4.5880,27.3756,43.0028,34.0861,5.34103,0.0207527,46.4362,0.216814,4185.45,11173.2,502.399
1,1,1,1,48,63,16,1,1,1,0,15,15,15,4307.23,11251.3,1744.24,52.0993,42.1467,14358,13903,81.6312,0.7100,0.0010,45.2327,11.3680,809.3750,2623.7840,1.2600,12.4330,2846.4760,5630.6600,0.7480,3.7890,515.4610,1489.7180,1.5190,28.4437,45.0377,31.7209,5.3602,0.0234342,45.9841,0.240685,4312.61,11302.7,1749.84
2,1,1,1,48,63,16,1,1,1,0,15,15,15,4310.17,11238.6,1763.47,52.0088,43.2528,14331,13836,81.0782,0.7500,0.0010,44.9073,11.3720,781.8330,2892.3990,1.0970,12.5960,2990.0990,6107.4680,0.8400,3.7910,702.6880,2230.9400,1.7920,28.352,44.7284,31.613,5.37267,0.0228567,46.3443,0.228343,4315.57,11290.3,1769.08
3,1,1,1,48,63,16,1,1,1,0,15,15,15,4278.71,11306.1,1753.06,51.0775,42.6739,14350,13880,79.2766,0.7100,0.0020,45.251,11.3660,799.3340,2641.2780,1.1190,12.4310,2906.3490,5930.7730,2.6860,3.7890,632.4860,1695.2610,2.1490,28.2937,45.0623,31.537,5.32805,0.025884,45.9579,0.231044,4284.06,11357.4,1758.61
1,1,1,1,48,63,32,1,1,1,0,15,15,15,4363.99,11349.1,3217.1,50.4101,44.229,14300,14159,77.2826,0.6360,0.0010,46.052,9.5430,623.8010,1665.6410,2.1350,11.5310,2163.8150,4474.7480,1.9510,6.3620,758.3530,1507.9810,2.7000,29.3545,45.8763,30.7949,5.38457,0.0301407,45.6924,0.223579,4369.4,11400.2,3222.71
2,1,1,1,48,63,32,1,1,1,0,15,15,15,4325.52,11365.6,3207.87,49.8675,43.5795,14308,14154,76.5315,0.6350,0.0020,46.1586,9.5190,597.2060,1506.9790,3.0600,11.6210,2243.1930,4688.5950,1.0380,6.3460,857.7420,1748.3840,3.1980,29.1247,45.9826,30.6223,5.31756,0.0334353,45.5615,0.221276,4330.88,11416.5,3213.41
3,1,1,1,48,63,32,1,1,1,0,15,15,15,4337.05,11391.6,3245.14,50.2718,43.9585,14306,13148,76.7032,0.6340,0.0020,46.1055,9.5170,612.4150,1541.9030,1.4750,11.6190,2266.3120,4718.4520,0.8290,6.3450,833.1090,1912.0550,2.4200,29.1473,45.9281,30.7387,5.33685,0.0238848,45.6042,0.224162,4342.41,11442.6,3250.7
1,1,1,1,48,63,48,1,1,1,0,15,15,15,4340.32,11724,4642.58,48.6315,45.3196,14286,11930,74.0102,0.5590,0.0020,47.0339,9.5790,595.6450,1570.0800,1.6840,10.6560,2275.5810,4877.2510,1.2980,7.6630,1177.9600,2231.2300,2.8950,29.2994,46.855,29.7661,5.44928,0.0207429,45.2686,0.244862,4345.79,11774.8,4648.28
2,1,1,1,48,63,48,1,1,1,0,15,15,15,4358.78,11833.5,4687.78,49.3655,45.3132,14286,14204,74.7693,0.5570,0.0020,47.4579,9.5540,603.7750,1639.7710,2.4300,10.3110,2332.1780,5075.1820,0.6910,7.6430,1483.9370,2896.9620,2.5040,29.4846,47.2764,29.971,5.35582,0.0396306,45.4929,0.241906,4364.18,11884.4,4693.38
3,1,1,1,48,63,48,1,1,1,0,15,15,15,4405.15,11720.2,4661.23,49.0892,44.293,14248,14315,75.5963,0.5580,0.0010,47.8851,7.9670,454.3190,1248.7940,1.3210,10.0380,2181.1630,5206.6710,1.3700,9.5600,1139.2440,2568.6430,2.4970,29.8749,47.7013,30.0878,5.33866,0.0207414,45.2637,0.235871,4410.51,11770.8,4666.8
1,1,1,1,48,63,63,1,1,1,0,15,15,15,4389.48,11775.2,5964.09,49.6176,46.0656,14027,13896,76.9340,0.4810,0.0010,47.8206,7.7000,409.0090,1268.7930,1.6980,10.1070,2372.5490,5317.1030,2.7170,9.6250,1498.8510,2905.4250,2.5190,29.836,47.6423,30.0048,5.43732,0.0267688,45.4356,0.229883,4394.94,11826.1,5969.76
