# epoch_wall_clock_ns=1788137812274902851
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
pose,0,prep,453398.099,465424.648,12.027,,1
pose,0,infer,465427.685,498005.624,32.578,0.258,1
pose,1,prep,498136.181,501830.484,3.694,,1
pose,1,infer,501833.484,521192.860,19.359,0.153,1
pose,2,prep,521284.621,528780.876,7.496,,1
pose,2,infer,528782.913,570147.270,41.364,0.146,1
pose,3,prep,570230.771,571719.900,1.489,,1
pose,3,infer,571722.233,590906.867,19.185,0.131,1
pose,4,prep,590918.737,595038.341,4.120,,1
pose,4,infer,595040.804,613935.212,18.894,0.141,1
pose,5,prep,614003.657,618246.152,4.242,,1
pose,5,infer,618248.670,637050.021,18.801,0.138,1
pose,6,prep,637112.763,640459.543,3.347,,1
pose,6,infer,640461.950,659224.505,18.763,0.132,1
pose,7,prep,659235.523,662820.991,3.585,,1
pose,7,infer,662823.232,681642.621,18.819,0.125,1
pose,8,prep,681707.751,685146.810,3.439,,1
pose,8,infer,685149.199,703995.736,18.847,0.130,1
pose,9,prep,704005.199,709175.056,5.170,,1
pose,9,infer,709177.112,727974.981,18.798,0.133,1
pose,10,prep,728049.093,731924.453,3.875,,1
pose,10,infer,731926.139,750672.859,18.747,0.136,1
pose,11,prep,750734.452,755313.765,4.579,,1
pose,11,infer,755316.321,773979.744,18.663,0.138,1
pose,12,prep,774047.893,780126.298,6.078,,1
pose,12,infer,780128.724,799097.799,18.969,0.140,1
pose,13,prep,799162.077,803967.171,4.805,,1
pose,13,infer,803969.949,822967.116,18.997,0.140,1
pose,14,prep,823026.265,827032.275,4.006,,1
pose,14,infer,827034.701,845735.680,18.701,0.139,1
pose,15,prep,845795.496,851652.379,5.857,,1
pose,15,infer,851654.694,870305.469,18.651,0.144,1
pose,16,prep,870378.822,874295.127,3.916,,1
pose,16,infer,874297.572,893097.144,18.800,0.138,1
pose,17,prep,893156.719,897664.439,4.508,,1
pose,17,infer,897666.439,916484.864,18.818,0.143,1
pose,18,prep,916551.216,923862.339,7.311,,1
pose,18,infer,923864.876,942469.595,18.605,0.140,1
pose,19,prep,942536.226,946154.861,3.619,,1
pose,19,infer,946157.138,964970.860,18.814,0.130,1
pose,20,prep,965030.490,967660.854,2.630,,1
pose,20,infer,967662.984,986159.016,18.496,0.138,1
pose,21,prep,986169.479,990952.054,4.783,,1
pose,21,infer,990954.869,1009653.940,18.699,0.129,1
pose,22,prep,1009722.700,1015827.420,6.105,,1
pose,22,infer,1015829.957,1034595.548,18.766,0.141,1
pose,23,prep,1034661.216,1037724.974,3.064,,1
pose,23,infer,1037726.641,1056544.918,18.818,0.132,1
pose,24,prep,1056554.307,1060200.201,3.646,,1
pose,24,infer,1060202.312,1079065.553,18.863,0.133,1
pose,25,prep,1079132.294,1084195.391,5.063,,1
pose,25,infer,1084197.076,1102917.018,18.720,0.144,1
pose,26,prep,1102983.037,1107149.957,4.167,,1
pose,26,infer,1107152.587,1125937.418,18.785,0.141,1
pose,27,prep,1126006.160,1130677.122,4.671,,1
pose,27,infer,1130684.419,1149617.641,18.933,0.140,1
pose,28,prep,1149681.105,1154285.974,4.605,,1
pose,28,infer,1154288.511,1172994.675,18.706,0.143,1
pose,29,prep,1173057.639,1178344.460,5.287,,1
pose,29,infer,1178346.868,1197035.050,18.688,0.141,1
pose,30,prep,1197094.366,1202623.561,5.529,,1
pose,30,infer,1202626.635,1221595.506,18.969,0.142,1
pose,31,prep,1221667.377,1227115.682,5.448,,1
pose,31,infer,1227118.052,1246080.423,18.962,0.137,1
pose,32,prep,1246141.980,1249492.834,3.351,,1
pose,32,infer,1249495.241,1268285.870,18.791,0.169,1
pose,33,prep,1268352.185,1272701.421,4.349,,1
pose,33,infer,1272703.718,1291572.199,18.868,0.139,1
pose,34,prep,1291635.811,1295759.155,4.123,,1
pose,34,infer,1295761.137,1314763.657,19.003,0.135,1
pose,35,prep,1314774.805,1319388.267,4.613,,1
pose,35,infer,1319390.730,1338466.806,19.076,0.140,1
pose,36,prep,1338545.381,1344377.134,5.832,,1
pose,36,infer,1344379.690,1363564.101,19.184,0.139,1
pose,37,prep,1363626.472,1371388.452,7.762,,1
pose,37,infer,1371390.804,1390039.653,18.649,0.144,1
pose,38,prep,1390101.690,1394691.392,4.590,,1
pose,38,infer,1394693.652,1413704.209,19.011,0.140,1
pose,39,prep,1413770.746,1417260.306,3.490,,1
pose,39,infer,1417261.880,1451164.816,33.903,0.142,1
pose,40,prep,1451236.798,1454328.056,3.091,,1
pose,40,infer,1454330.594,1473831.526,19.501,0.137,1
pose,41,prep,1473845.545,1479109.311,5.264,,1
pose,41,infer,1479111.514,1498342.944,19.231,0.132,1
pose,42,prep,1498408.464,1502787.700,4.379,,1
pose,42,infer,1502790.163,1538119.523,35.329,0.138,1
pose,43,prep,1538188.264,1542820.282,4.632,,1
pose,43,infer,1542823.060,1562539.625,19.717,0.144,1
pose,44,prep,1562609.014,1568647.085,6.038,,1
pose,44,infer,1568649.363,1587848.459,19.199,0.147,1
pose,45,prep,1587916.590,1593210.152,5.294,,1
pose,45,infer,1593212.374,1614764.665,21.552,0.145,1
pose,46,prep,1614840.814,1619665.463,4.825,,1
pose,46,infer,1619669.019,1638829.281,19.160,0.143,1
pose,47,prep,1638901.208,1643032.349,4.131,,1
pose,47,infer,1643034.960,1661941.015,18.906,0.142,1
pose,48,prep,1662010.942,1666177.010,4.166,,1
pose,48,infer,1666179.602,1684904.378,18.725,0.141,1
pose,49,prep,1684965.490,1689246.355,4.281,,1
pose,49,infer,1689248.725,1708233.134,18.984,0.140,1
pose,50,prep,1708298.320,1712336.719,4.038,,1
pose,50,infer,1712339.386,1731109.810,18.770,0.140,1
pose,51,prep,1731174.848,1735799.087,4.624,,1
pose,51,infer,1735802.272,1754590.511,18.788,0.147,1
pose,52,prep,1754661.383,1759113.805,4.452,,1
pose,52,infer,1759116.064,1778040.287,18.924,0.145,1
pose,53,prep,1778107.250,1780707.151,2.600,,1
pose,53,infer,1780709.596,1799498.427,18.789,0.130,1
pose,54,prep,1799508.112,1803422.640,3.915,,1
pose,54,infer,1803425.103,1822016.617,18.592,0.137,1
pose,55,prep,1822082.933,1826097.332,4.014,,1
pose,55,infer,1826100.480,1844626.716,18.526,0.142,1
pose,56,prep,1844698.050,1849199.603,4.502,,1
pose,56,infer,1849201.807,1867819.655,18.618,0.142,1
pose,57,prep,1867890.470,1874475.288,6.585,,1
pose,57,infer,1874478.140,1892998.969,18.521,0.145,1
pose,58,prep,1893077.099,1896974.089,3.897,,1
pose,58,infer,1896976.312,1915516.548,18.540,0.134,1
pose,59,prep,1915526.937,1918956.440,3.430,,1
pose,59,infer,1918957.792,1937433.249,18.475,0.121,1
pose,60,prep,1937442.675,1940922.309,3.480,,1
pose,60,infer,1940924.031,1959445.730,18.522,0.126,1
pose,61,prep,1959455.489,1963775.743,4.320,,1
pose,61,infer,1963777.892,1981993.624,18.216,0.129,1
