# epoch_wall_clock_ns=1788137895756038078
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,50,prep,2478206.922,2482313.018,4.106,,1
det,50,infer,2482314.981,2506958.283,24.643,0.132,1
det,51,prep,2507053.839,2511771.423,4.718,,1
det,51,infer,2511774.331,2538058.537,26.284,0.135,1
det,52,prep,2538149.372,2542710.010,4.561,,1
det,52,infer,2542712.676,2568865.474,26.153,0.136,1
det,53,prep,2568951.160,2571601.242,2.650,,1
det,53,infer,2571602.946,2599471.428,27.868,0.122,1
det,54,prep,2599484.354,2603649.544,4.165,,1
det,54,infer,2603651.784,2632589.962,28.938,0.124,1
det,55,prep,2632676.259,2636661.039,3.985,,1
det,55,infer,2636664.336,2664303.815,27.639,0.137,1
det,56,prep,2664388.168,2668972.325,4.584,,1
det,56,infer,2668974.973,2694419.597,25.445,0.134,1
det,57,prep,2694502.376,2701149.275,6.647,,1
det,57,infer,2701152.238,2725330.109,24.178,0.134,1
det,58,prep,2725419.203,2729419.372,4.000,,1
det,58,infer,2729421.631,2755453.669,26.032,0.134,1
det,59,prep,2755469.817,2758996.352,3.527,,1
det,59,infer,2758997.797,2786383.403,27.386,0.128,1
det,60,prep,2786392.403,2790152.996,3.761,,1
det,60,infer,2790154.867,2819312.584,29.158,0.145,1
det,61,prep,2819324.676,2823770.850,4.446,,1
det,61,infer,2823772.813,2849456.347,25.684,0.135,1
det,62,prep,2849539.144,2853191.644,3.652,,1
det,62,infer,2853194.144,2878280.005,25.086,0.139,1
det,63,prep,2878290.172,2880824.327,2.534,,1
det,63,infer,2880825.919,2908326.935,27.501,0.128,1
det,64,prep,2908338.194,2914102.622,5.764,,1
det,64,infer,2914104.825,2938779.886,24.675,0.138,1
det,65,prep,2938850.128,2943141.245,4.291,,1
det,65,infer,2943143.319,2968694.833,25.552,0.141,1
det,66,prep,2968772.630,2973731.605,4.959,,1
det,66,infer,2973733.809,2998496.315,24.763,0.140,1
det,67,prep,2998572.261,3005455.496,6.883,,1
det,67,infer,3005458.681,3040786.515,35.328,0.143,1
det,68,prep,3040860.775,3045942.122,5.081,,1
det,68,infer,3045944.937,3067332.039,21.387,0.134,1
det,69,prep,3067344.854,3072958.669,5.614,,1
det,69,infer,3072960.929,3096638.165,23.677,0.138,1
det,70,prep,3096713.851,3099286.913,2.573,,1
det,70,infer,3099289.395,3122204.235,22.915,0.127,1
det,71,prep,3122214.216,3127500.102,5.286,,1
det,71,infer,3127502.306,3155343.732,27.841,0.131,1
det,72,prep,3155423.992,3159492.625,4.069,,1
det,72,infer,3159495.588,3186858.194,27.363,0.137,1
det,73,prep,3186928.139,3191513.130,4.585,,1
det,73,infer,3191515.463,3218184.025,26.669,0.137,1
det,74,prep,3218260.711,3222107.453,3.847,,1
det,74,infer,3222110.250,3248302.141,26.192,0.136,1
det,75,prep,3248378.845,3256087.885,7.709,,1
det,75,infer,3256090.977,3279147.318,23.056,0.141,1
det,76,prep,3279226.504,3284732.448,5.506,,1
det,76,infer,3284734.429,3309508.009,24.774,0.139,1
det,77,prep,3309582.528,3314054.684,4.472,,1
det,77,infer,3314056.758,3341250.640,27.194,0.134,1
det,78,prep,3341324.993,3345258.347,3.933,,1
det,78,infer,3345260.754,3393415.919,48.155,0.141,1
det,79,prep,3393494.605,3397830.296,4.336,,1
det,79,infer,3397832.500,3424228.077,26.396,0.159,1
det,80,prep,3424321.282,3428719.918,4.399,,1
det,80,infer,3428722.252,3466990.207,38.268,0.137,1
det,81,prep,3467068.189,3471983.293,4.915,,1
det,81,infer,3471986.053,3494453.332,22.467,0.148,1
det,82,prep,3494531.666,3498245.314,3.714,,1
det,82,infer,3498247.648,3519529.674,21.282,0.144,1
det,83,prep,3519610.823,3523130.747,3.520,,1
det,83,infer,3523133.284,3547240.339,24.107,0.131,1
det,84,prep,3547251.839,3552675.875,5.424,,1
det,84,infer,3552678.134,3578646.818,25.969,0.132,1
det,85,prep,3578723.726,3582652.895,3.929,,1
det,85,infer,3582655.821,3609517.663,26.862,0.139,1
det,86,prep,3609607.441,3615875.115,6.268,,1
det,86,infer,3615877.763,3639821.094,23.943,0.141,1
det,87,prep,3639909.910,3645501.299,5.591,,1
det,87,infer,3645504.391,3670380.824,24.876,0.142,1
det,88,prep,3670476.177,3675530.301,5.054,,1
det,88,infer,3675533.005,3701643.747,26.111,0.143,1
det,89,prep,3701731.025,3705029.540,3.299,,1
det,89,infer,3705031.484,3731333.394,26.302,0.131,1
det,90,prep,3731341.690,3735002.949,3.661,,1
det,90,infer,3735004.653,3764511.854,29.507,0.129,1
det,91,prep,3764526.465,3768212.687,3.686,,1
det,91,infer,3768215.280,3796695.860,28.481,0.128,1
det,92,prep,3796774.583,3802174.507,5.400,,1
det,92,infer,3802177.099,3828190.673,26.014,0.139,1
det,93,prep,3828279.137,3834333.808,6.055,,1
det,93,infer,3834336.568,3858358.140,24.022,0.137,1
det,94,prep,3858438.882,3862208.327,3.769,,1
det,94,infer,3862211.308,3887803.378,25.592,0.137,1
det,95,prep,3887880.397,3892308.367,4.428,,1
det,95,infer,3892311.367,3917996.067,25.685,0.141,1
det,96,prep,3918098.605,3922437.500,4.339,,1
det,96,infer,3922440.223,3950932.617,28.492,0.137,1
det,97,prep,3951008.007,3955145.159,4.137,,1
det,97,infer,3955147.807,3982683.248,27.535,0.138,1
det,98,prep,3982769.638,3987683.298,4.914,,1
det,98,infer,3987685.557,4013227.423,25.542,0.139,1
det,99,prep,4013317.350,4020436.920,7.120,,1
det,99,infer,4020440.013,4045160.518,24.721,0.164,1
det,100,prep,4045244.982,4049862.639,4.618,,1
det,100,infer,4049864.787,4089484.034,39.619,0.133,1
det,101,prep,4089570.720,4094219.007,4.648,,1
det,101,infer,4094221.525,4117926.317,23.705,0.142,1
det,102,prep,4118017.984,4125292.724,7.275,,1
det,102,infer,4125295.057,4147270.294,21.975,0.147,1
det,103,prep,4147368.388,4151409.798,4.041,,1
det,103,infer,4151413.132,4175316.296,23.903,0.137,1
det,104,prep,4175425.241,4182036.826,6.612,,1
det,104,infer,4182039.196,4206353.957,24.315,0.141,1
det,105,prep,4206431.605,4210161.606,3.730,,1
det,105,infer,4210164.217,4237465.896,27.302,0.139,1
det,106,prep,4237549.897,4242158.369,4.608,,1
det,106,infer,4242161.313,4270650.337,28.489,0.134,1
det,107,prep,4270734.764,4275291.513,4.557,,1
det,107,infer,4275293.865,4301349.994,26.056,0.137,1
det,108,prep,4301415.069,4305217.495,3.802,,1
det,108,infer,4305220.106,4334284.710,29.065,0.138,1
det,109,prep,4334375.822,4338579.845,4.204,,1
det,109,infer,4338581.734,4364408.658,25.827,0.134,1
det,110,prep,4364505.010,4370469.292,5.964,,1
det,110,infer,4370472.292,4395279.316,24.807,0.137,1
det,111,prep,4395362.391,4400136.346,4.774,,1
det,111,infer,4400138.864,4436506.337,36.367,0.134,1
det,112,prep,4436598.245,4442134.911,5.537,,1
det,112,infer,4442137.374,4470291.562,28.154,0.139,1
det,113,prep,4470378.062,4475805.190,5.427,,1
det,113,infer,4475808.172,4499569.834,23.762,0.137,1
det,114,prep,4499649.446,4503856.080,4.207,,1
det,114,infer,4503858.543,4528621.178,24.763,0.137,1
det,115,prep,4528704.457,4532451.327,3.747,,1
det,115,infer,4532454.142,4554762.919,22.309,0.173,1
det,116,prep,4554836.772,4559966.304,5.130,,1
det,116,infer,4559968.675,4581451.333,21.483,0.141,1
det,117,prep,4581541.815,4586769.756,5.228,,1
det,117,infer,4586773.219,4611944.580,25.171,0.138,1
det,118,prep,4612028.081,4616881.555,4.853,,1
det,118,infer,4616883.796,4643593.080,26.709,0.139,1
det,119,prep,4643688.599,4648127.180,4.439,,1
det,119,infer,4648129.718,4675418.026,27.288,0.135,1
det,120,prep,4675506.212,4680760.042,5.254,,1
det,120,infer,4680762.912,4705519.103,24.756,0.142,1
det,121,prep,4705608.437,4709638.551,4.030,,1
det,121,infer,4709640.903,4735284.565,25.644,0.139,1
det,122,prep,4735357.992,4741520.201,6.162,,1
det,122,infer,4741522.646,4768229.170,26.707,0.138,1
det,123,prep,4768319.430,4774165.563,5.846,,1
det,123,infer,4774167.692,4799714.187,25.546,0.140,1
det,124,prep,4799803.743,4803505.169,3.701,,1
det,124,infer,4803507.650,4830497.363,26.990,0.137,1
det,125,prep,4830586.753,4836261.272,5.675,,1
det,125,infer,4836263.698,4861231.631,24.968,0.142,1
det,126,prep,4861331.614,4865240.838,3.909,,1
det,126,infer,4865243.060,4891387.042,26.144,0.134,1
det,127,prep,4891496.858,4895331.878,3.835,,1
det,127,infer,4895334.081,4923704.234,28.370,0.131,1
det,128,prep,4923717.456,4930436.708,6.719,,1
det,128,infer,4930438.634,4955395.641,24.957,0.134,1
det,129,prep,4955486.216,4960143.244,4.657,,1
det,129,infer,4960145.503,4985299.253,25.154,0.138,1
det,130,prep,4985386.606,4992075.172,6.689,,1
det,130,infer,4992077.969,5019581.353,27.503,0.162,1
det,131,prep,5019695.706,5025505.412,5.810,,1
det,131,infer,5025508.041,5051023.610,25.516,0.170,1
det,132,prep,5051132.648,5052855.721,1.723,,1
det,132,infer,5052857.924,5082423.385,29.565,0.175,1
det,133,prep,5082431.329,5087639.714,5.208,,1
det,133,infer,5087642.289,5135032.778,47.390,0.156,1
det,134,prep,5135159.483,5139665.805,4.506,,1
det,134,infer,5139668.194,5162514.347,22.846,0.159,1
det,135,prep,5162529.699,5168731.520,6.202,,1
det,135,infer,5168734.520,5189424.022,20.690,0.158,1
det,136,prep,5189529.079,5195691.325,6.162,,1
det,136,infer,5195693.733,5220246.958,24.553,0.163,1
det,137,prep,5220330.607,5224987.468,4.657,,1
det,137,infer,5224989.524,5248302.144,23.313,0.151,1
det,138,prep,5248409.312,5254207.703,5.798,,1
det,138,infer,5254210.647,5278948.078,24.737,0.164,1
det,139,prep,5279127.394,5285071.787,5.944,,1
det,139,infer,5285074.824,5309423.417,24.349,0.169,1
det,140,prep,5309518.862,5319746.334,10.227,,1
det,140,infer,5319749.723,5342183.779,22.434,0.168,1
det,141,prep,5342281.354,5348745.177,6.464,,1
det,141,infer,5348747.344,5376334.840,27.587,0.165,1
det,142,prep,5376525.731,5381328.667,4.803,,1
det,142,infer,5381331.334,5407271.036,25.940,0.164,1
det,143,prep,5407287.962,5414371.328,7.083,,1
det,143,infer,5414373.791,5439843.692,25.470,0.157,1
det,144,prep,5439956.600,5447005.485,7.049,,1
det,144,infer,5447008.004,5494066.545,47.059,0.165,1
det,145,prep,5494159.564,5503290.636,9.131,,1
det,145,infer,5503292.710,5532323.331,29.031,0.153,1
det,146,prep,5532417.054,5537901.201,5.484,,1
det,146,infer,5537903.794,5597424.255,59.520,0.168,1
det,147,prep,5597523.441,5602750.437,5.227,,1
det,147,infer,5602753.641,5626260.133,23.506,0.178,1
det,148,prep,5626347.930,5630522.898,4.175,,1
det,148,infer,5630525.713,5649082.693,18.557,0.185,1
det,149,prep,5649096.619,5654148.447,5.052,,1
det,149,infer,5654150.540,5675411.473,21.261,0.163,1
det,150,prep,5675512.103,5682341.227,6.829,,1
det,150,infer,5682343.338,5706469.281,24.126,0.166,1
det,151,prep,5706569.485,5711560.276,4.991,,1
det,151,infer,5711562.609,5734478.651,22.916,0.151,1
det,152,prep,5734491.836,5741837.965,7.346,,1
det,152,infer,5741840.168,5764598.598,22.758,0.156,1
det,153,prep,5764688.710,5770318.118,5.629,,1
det,153,infer,5770320.173,5795429.607,25.109,0.154,1
det,154,prep,5795443.126,5802774.513,7.331,,1
det,154,infer,5802776.921,5825269.792,22.493,0.149,1
det,155,prep,5825382.404,5831151.554,5.769,,1
det,155,infer,5831154.351,5856434.323,25.280,0.158,1
det,156,prep,5856530.843,5864633.368,8.103,,1
det,156,infer,5864636.812,5889447.892,24.811,0.160,1
det,157,prep,5889547.337,5894158.253,4.611,,1
det,157,infer,5894161.605,5921326.967,27.165,0.163,1
det,158,prep,5921337.486,5927832.235,6.495,,1
det,158,infer,5927834.624,5956084.441,28.250,0.167,1
det,159,prep,5956302.906,5961182.547,4.880,,1
det,159,infer,5961185.381,5989063.898,27.879,0.161,1
det,160,prep,5989077.639,5996807.030,7.729,,1
det,160,infer,5996809.901,6023338.756,26.529,0.167,1
det,161,prep,6023543.184,6031954.416,8.411,,1
det,161,infer,6031957.416,6055482.705,23.525,0.170,1
det,162,prep,6055578.706,6065860.400,10.282,,1
det,162,infer,6065863.271,6091821.232,25.958,0.172,1
det,163,prep,6091924.566,6098039.127,6.115,,1
det,163,infer,6098041.923,6123545.121,25.503,0.165,1
det,164,prep,6123741.215,6128658.412,4.917,,1
det,164,infer,6128662.745,6155738.440,27.076,0.162,1
det,165,prep,6155864.534,6160095.131,4.231,,1
det,165,infer,6160097.205,6202244.938,42.148,0.154,1
det,166,prep,6202256.364,6208753.151,6.497,,1
det,166,infer,6208755.651,6237637.234,28.882,0.181,1
det,167,prep,6237725.012,6244371.597,6.647,,1
det,167,infer,6244375.023,6270266.094,25.891,0.194,1
