# epoch_wall_clock_ns=1788137789493476173
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
seg,0,prep,583176.438,595194.419,12.018,,1
seg,0,infer,595199.623,634096.342,38.897,0.209,1
seg,1,prep,634199.473,637887.185,3.688,,1
seg,1,infer,637889.333,669995.746,32.106,0.157,1
seg,2,prep,670083.043,677637.081,7.554,,1
seg,2,infer,677639.636,701573.153,23.934,0.148,1
seg,3,prep,701648.116,703118.135,1.470,,1
seg,3,infer,703120.264,726937.279,23.817,0.131,1
seg,4,prep,726946.798,730946.532,4.000,,1
seg,4,infer,730949.014,754900.178,23.951,0.163,1
seg,5,prep,754967.642,759173.657,4.206,,1
seg,5,infer,759176.305,783002.487,23.826,0.145,1
seg,6,prep,783066.728,786376.824,3.310,,1
seg,6,infer,786378.584,810230.821,23.852,0.132,1
seg,7,prep,810241.618,813842.440,3.601,,1
seg,7,infer,813844.032,837933.625,24.090,0.132,1
seg,8,prep,837997.329,841422.668,3.425,,1
seg,8,infer,841424.686,865173.404,23.749,0.131,1
seg,9,prep,865183.404,870378.542,5.195,,1
seg,9,infer,870381.375,894249.298,23.868,0.145,1
seg,10,prep,894318.188,898167.106,3.849,,1
seg,10,infer,898169.254,922113.085,23.944,0.148,1
seg,11,prep,922173.864,926627.307,4.453,,1
seg,11,infer,926630.122,950395.544,23.765,0.148,1
seg,12,prep,950459.508,956538.934,6.079,,1
seg,12,infer,956541.360,980676.175,24.135,0.149,1
seg,13,prep,980737.991,985542.013,4.804,,1
seg,13,infer,985544.420,1009713.199,24.169,0.138,1
seg,14,prep,1009778.403,1013766.619,3.988,,1
seg,14,infer,1013768.952,1037905.397,24.136,0.141,1
seg,15,prep,1037962.027,1043802.358,5.840,,1
seg,15,infer,1043804.729,1067852.858,24.048,0.154,1
seg,16,prep,1067928.711,1071862.203,3.933,,1
seg,16,infer,1071864.981,1096216.558,24.352,0.143,1
seg,17,prep,1096286.318,1100813.726,4.527,,1
seg,17,infer,1100816.596,1136340.755,35.524,0.149,1
seg,18,prep,1136420.200,1143840.384,7.420,,1
seg,18,infer,1143843.106,1172627.108,28.784,0.153,1
seg,19,prep,1172706.054,1176287.487,3.581,,1
seg,19,infer,1176289.931,1199970.185,23.680,0.142,1
seg,20,prep,1200031.686,1202633.773,2.602,,1
seg,20,infer,1202636.273,1226501.382,23.865,0.140,1
seg,21,prep,1226512.548,1231310.922,4.798,,1
seg,21,infer,1231313.070,1255090.714,23.778,0.140,1
seg,22,prep,1255170.882,1261271.661,6.101,,1
seg,22,infer,1261274.253,1285144.232,23.870,0.150,1
seg,23,prep,1285203.603,1288208.529,3.005,,1
seg,23,infer,1288211.251,1311972.617,23.761,0.133,1
seg,24,prep,1311983.617,1315649.681,3.666,,1
seg,24,infer,1315651.662,1340442.912,24.791,0.139,1
seg,25,prep,1340523.338,1345613.531,5.090,,1
seg,25,infer,1345616.216,1372784.716,27.169,0.153,1
seg,26,prep,1372868.051,1377131.677,4.264,,1
seg,26,infer,1377134.103,1408248.393,31.114,0.155,1
seg,27,prep,1408321.783,1413047.526,4.726,,1
seg,27,infer,1413052.656,1437229.305,24.177,0.148,1
seg,28,prep,1437301.528,1441903.844,4.602,,1
seg,28,infer,1441906.510,1465554.375,23.648,0.149,1
seg,29,prep,1465632.302,1470934.126,5.302,,1
seg,29,infer,1470936.034,1495026.422,24.090,0.179,1
seg,30,prep,1495102.646,1500610.102,5.507,,1
seg,30,infer,1500612.917,1524689.101,24.076,0.150,1
seg,31,prep,1524767.102,1530234.818,5.468,,1
seg,31,infer,1530236.558,1554446.948,24.210,0.141,1
seg,32,prep,1554512.486,1557914.694,3.402,,1
seg,32,infer,1557917.342,1581642.578,23.725,0.144,1
seg,33,prep,1581714.060,1586116.448,4.402,,1
seg,33,infer,1586119.022,1610276.744,24.158,0.146,1
seg,34,prep,1610339.930,1614446.906,4.107,,1
seg,34,infer,1614449.591,1638497.664,24.048,0.146,1
seg,35,prep,1638507.238,1643210.777,4.704,,1
seg,35,infer,1643214.333,1679432.777,36.218,0.145,1
seg,36,prep,1679524.186,1685390.832,5.867,,1
seg,36,infer,1685393.184,1708943.306,23.550,0.146,1
seg,37,prep,1709020.881,1716824.236,7.803,,1
seg,37,infer,1716826.625,1740521.601,23.695,0.156,1
seg,38,prep,1740594.972,1745182.362,4.587,,1
seg,38,infer,1745184.936,1768952.838,23.768,0.149,1
seg,39,prep,1769023.932,1772487.808,3.464,,1
seg,39,infer,1772489.567,1796350.378,23.861,0.145,1
seg,40,prep,1796421.768,1799440.435,3.019,,1
seg,40,infer,1799442.749,1823077.095,23.634,0.141,1
seg,41,prep,1823088.354,1828280.918,5.193,,1
seg,41,infer,1828282.770,1851919.078,23.636,0.140,1
seg,42,prep,1851984.931,1856347.688,4.363,,1
seg,42,infer,1856350.336,1880129.202,23.779,0.142,1
seg,43,prep,1880197.425,1884764.277,4.567,,1
seg,43,infer,1884766.685,1908515.735,23.749,0.143,1
seg,44,prep,1908580.199,1914678.274,6.098,,1
seg,44,infer,1914680.441,1938491.122,23.811,0.142,1
seg,45,prep,1938560.548,1943855.261,5.295,,1
seg,45,infer,1943857.984,1967606.719,23.749,0.147,1
seg,46,prep,1967680.943,1972489.335,4.808,,1
seg,46,infer,1972491.391,1996178.737,23.687,0.146,1
seg,47,prep,1996248.404,2000349.566,4.101,,1
seg,47,infer,2000352.362,2024146.117,23.794,0.151,1
seg,48,prep,2024213.284,2028351.446,4.138,,1
seg,48,infer,2028354.687,2052066.867,23.712,0.142,1
seg,49,prep,2052136.330,2056424.402,4.288,,1
seg,49,infer,2056427.476,2080031.432,23.604,0.141,1
seg,50,prep,2080108.877,2084158.816,4.050,,1
seg,50,infer,2084161.649,2107870.921,23.709,0.145,1
seg,51,prep,2107932.330,2112547.145,4.615,,1
seg,51,infer,2112550.090,2136340.641,23.791,0.145,1
seg,52,prep,2136416.383,2140917.845,4.501,,1
seg,52,infer,2140919.938,2165123.124,24.203,0.147,1
seg,53,prep,2165193.791,2167843.157,2.649,,1
seg,53,infer,2167845.176,2200867.581,33.022,0.131,1
seg,54,prep,2200882.525,2204929.130,4.047,,1
seg,54,infer,2204931.242,2228258.083,23.327,0.140,1
seg,55,prep,2228329.732,2232198.354,3.869,,1
seg,55,infer,2232200.243,2255852.459,23.652,0.141,1
seg,56,prep,2255924.423,2260420.293,4.496,,1
seg,56,infer,2260422.589,2284051.842,23.629,0.144,1
seg,57,prep,2284112.898,2290702.238,6.589,,1
seg,57,infer,2290704.683,2314289.879,23.585,0.147,1
seg,58,prep,2314357.714,2318230.965,3.873,,1
seg,58,infer,2318233.613,2341977.237,23.744,0.135,1
seg,59,prep,2341987.552,2345372.483,3.385,,1
seg,59,infer,2345374.316,2369185.219,23.811,0.128,1
seg,60,prep,2369194.182,2372613.706,3.420,,1
seg,60,infer,2372615.410,2396932.560,24.317,0.127,1
seg,61,prep,2396942.041,2401357.429,4.415,,1
seg,61,infer,2401359.077,2431088.201,29.729,0.138,1
seg,62,prep,2431190.424,2434821.950,3.632,,1
seg,62,infer,2434824.358,2458441.314,23.617,0.141,1
seg,63,prep,2458451.888,2460930.085,2.478,,1
seg,63,infer,2460931.697,2484384.892,23.453,0.124,1
seg,64,prep,2484394.447,2490039.017,5.645,,1
seg,64,infer,2490040.887,2513484.952,23.444,0.140,1
seg,65,prep,2513553.397,2517779.690,4.226,,1
seg,65,infer,2517782.116,2541084.568,23.302,0.145,1
seg,66,prep,2541159.680,2546067.036,4.907,,1
seg,66,infer,2546069.833,2569616.621,23.547,0.145,1
seg,67,prep,2569682.307,2576491.612,6.809,,1
seg,67,infer,2576494.242,2599977.900,23.484,0.145,1
seg,68,prep,2600042.290,2605132.833,5.091,,1
seg,68,infer,2605135.185,2628278.783,23.144,0.137,1
seg,69,prep,2628288.469,2633765.610,5.477,,1
seg,69,infer,2633767.684,2657257.638,23.490,0.131,1
seg,70,prep,2657323.065,2659825.836,2.503,,1
seg,70,infer,2659828.003,2683323.328,23.495,0.130,1
seg,71,prep,2683333.643,2688457.483,5.124,,1
seg,71,infer,2688458.983,2736291.402,47.832,0.137,1
seg,72,prep,2736374.014,2740398.286,4.024,,1
seg,72,infer,2740401.397,2764150.984,23.750,0.151,1
seg,73,prep,2764245.263,2768769.763,4.524,,1
seg,73,infer,2768772.337,2792385.348,23.613,0.145,1
seg,74,prep,2792446.775,2796190.858,3.744,,1
seg,74,infer,2796193.487,2819499.773,23.306,0.138,1
seg,75,prep,2819574.607,2827292.479,7.718,,1
seg,75,infer,2827294.701,2850153.407,22.859,0.145,1
seg,76,prep,2850223.241,2855847.032,5.624,,1
seg,76,infer,2855849.440,2879108.262,23.259,0.149,1
seg,77,prep,2879181.800,2883599.613,4.418,,1
seg,77,infer,2883602.168,2906962.491,23.360,0.146,1
seg,78,prep,2907038.233,2910859.761,3.822,,1
seg,78,infer,2910862.206,2934219.936,23.358,0.145,1
seg,79,prep,2934292.104,2938365.932,4.074,,1
seg,79,infer,2938368.265,2961669.439,23.301,0.145,1
seg,80,prep,2961737.144,2966058.993,4.322,,1
seg,80,infer,2966061.215,2989341.111,23.280,0.137,1
seg,81,prep,2989405.519,2994255.745,4.850,,1
seg,81,infer,2994258.153,3017701.977,23.444,0.141,1
seg,82,prep,3017764.552,3021417.985,3.653,,1
seg,82,infer,3021420.430,3044704.493,23.284,0.143,1
seg,83,prep,3044767.308,3048149.979,3.383,,1
seg,83,infer,3048152.627,3071976.271,23.824,0.135,1
seg,84,prep,3071986.604,3077235.780,5.249,,1
seg,84,infer,3077237.835,3101016.404,23.779,0.137,1
seg,85,prep,3101094.905,3104917.008,3.822,,1
seg,85,infer,3104918.656,3128520.426,23.602,0.145,1
seg,86,prep,3128581.056,3134839.466,6.258,,1
seg,86,infer,3134841.744,3158290.402,23.449,0.144,1
seg,87,prep,3158370.921,3163902.600,5.532,,1
seg,87,infer,3163905.044,3187405.443,23.500,0.148,1
seg,88,prep,3187469.592,3192502.598,5.033,,1
seg,88,infer,3192504.987,3215916.922,23.412,0.147,1
seg,89,prep,3215997.849,3219254.833,3.257,,1
seg,89,infer,3219257.537,3250871.035,31.613,0.137,1
seg,90,prep,3250884.146,3254319.892,3.436,,1
seg,90,infer,3254321.744,3278230.870,23.909,0.135,1
seg,91,prep,3278240.148,3281740.857,3.501,,1
seg,91,infer,3281742.320,3305193.070,23.451,0.134,1
seg,92,prep,3305269.683,3310602.396,5.333,,1
seg,92,infer,3310604.044,3334126.462,23.522,0.145,1
seg,93,prep,3334186.962,3340162.425,5.975,,1
seg,93,infer,3340165.517,3363818.955,23.653,0.145,1
seg,94,prep,3363892.530,3367604.223,3.712,,1
seg,94,infer,3367606.705,3391280.828,23.674,0.143,1
seg,95,prep,3391338.792,3395715.901,4.377,,1
seg,95,infer,3395719.049,3419535.044,23.816,0.151,1
seg,96,prep,3419631.083,3423857.764,4.227,,1
seg,96,infer,3423860.338,3477426.401,53.566,0.144,1
seg,97,prep,3477498.402,3481613.360,4.115,,1
seg,97,infer,3481616.304,3505331.928,23.716,0.150,1
seg,98,prep,3505418.262,3510260.525,4.842,,1
seg,98,infer,3510262.637,3533894.814,23.632,0.153,1
seg,99,prep,3533961.426,3541039.809,7.078,,1
seg,99,infer,3541042.531,3564623.708,23.581,0.148,1
seg,100,prep,3564697.598,3569246.561,4.549,,1
seg,100,infer,3569248.709,3592906.535,23.658,0.144,1
seg,101,prep,3592980.518,3597595.944,4.615,,1
seg,101,infer,3597598.630,3621240.104,23.641,0.143,1
seg,102,prep,3621306.086,3628494.970,7.189,,1
seg,102,infer,3628498.007,3651977.498,23.479,0.150,1
seg,103,prep,3652051.702,3656004.121,3.952,,1
seg,103,infer,3656006.029,3679705.207,23.699,0.146,1
seg,104,prep,3679783.949,3686340.881,6.557,,1
seg,104,infer,3686344.029,3710075.134,23.731,0.149,1
seg,105,prep,3710138.116,3713785.309,3.647,,1
seg,105,infer,3713787.623,3737393.393,23.606,0.144,1
seg,106,prep,3737466.987,3741739.595,4.273,,1
seg,106,infer,3741741.706,3790047.926,48.306,0.140,1
seg,107,prep,3790111.593,3794636.593,4.525,,1
seg,107,infer,3794638.834,3818324.882,23.686,0.149,1
seg,108,prep,3818407.254,3821984.408,3.577,,1
seg,108,infer,3821986.612,3845507.307,23.521,0.145,1
seg,109,prep,3845569.011,3849688.969,4.120,,1
seg,109,infer,3849691.506,3873148.571,23.457,0.142,1
seg,110,prep,3873221.905,3879163.329,5.941,,1
seg,110,infer,3879165.570,3902805.063,23.639,0.149,1
seg,111,prep,3902871.952,3907596.714,4.725,,1
seg,111,infer,3907599.473,3931074.464,23.475,0.150,1
seg,112,prep,3931139.983,3936607.290,5.467,,1
seg,112,infer,3936609.698,3960149.634,23.540,0.151,1
seg,113,prep,3960213.968,3965559.422,5.345,,1
seg,113,infer,3965562.163,3988936.800,23.375,0.151,1
seg,114,prep,3989004.634,3992930.719,3.926,,1
seg,114,infer,3992933.071,4016415.043,23.482,0.145,1
seg,115,prep,4016487.303,4020205.941,3.719,,1
seg,115,infer,4020208.904,4043971.250,23.762,0.144,1
seg,116,prep,4044034.547,4049032.034,4.997,,1
seg,116,infer,4049034.553,4072881.067,23.847,0.147,1
seg,117,prep,4072951.901,4078099.464,5.148,,1
seg,117,infer,4078102.667,4101651.048,23.548,0.150,1
seg,118,prep,4101726.049,4106462.940,4.737,,1
seg,118,infer,4106465.792,4130014.987,23.549,0.141,1
seg,119,prep,4130090.321,4134443.300,4.353,,1
seg,119,infer,4134445.800,4157954.106,23.508,0.143,1
seg,120,prep,4158020.477,4163188.689,5.168,,1
seg,120,infer,4163191.818,4186802.588,23.611,0.150,1
