# epoch_wall_clock_ns=1788137766760940760
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
seg,49,prep,2052700.787,2057058.566,4.358,,1
seg,49,infer,2057061.658,2080346.123,23.284,0.142,1
seg,50,prep,2080409.921,2084463.361,4.053,,1
seg,50,infer,2084466.065,2108190.258,23.724,0.139,1
seg,51,prep,2108256.092,2112892.282,4.636,,1
seg,51,infer,2112894.356,2136742.476,23.848,0.140,1
seg,52,prep,2136806.533,2141333.054,4.527,,1
seg,52,infer,2141335.387,2165343.899,24.009,0.140,1
seg,53,prep,2165417.048,2168081.230,2.664,,1
seg,53,infer,2168083.693,2192015.018,23.931,0.131,1
seg,54,prep,2192025.445,2195944.754,3.919,,1
seg,54,infer,2195946.476,2219792.023,23.846,0.128,1
seg,55,prep,2219856.246,2223764.037,3.908,,1
seg,55,infer,2223766.370,2247202.411,23.436,0.138,1
seg,56,prep,2247269.746,2251799.211,4.529,,1
seg,56,infer,2251801.878,2275452.143,23.650,0.137,1
seg,57,prep,2275530.385,2282156.118,6.626,,1
seg,57,infer,2282159.174,2305582.547,23.423,0.140,1
seg,58,prep,2305654.419,2309560.450,3.906,,1
seg,58,infer,2309562.913,2332958.398,23.395,0.128,1
seg,59,prep,2332970.324,2336366.293,3.396,,1
seg,59,infer,2336368.071,2359809.019,23.441,0.122,1
seg,60,prep,2359818.501,2363284.064,3.466,,1
seg,60,infer,2363286.416,2386687.826,23.401,0.128,1
seg,61,prep,2386697.956,2391010.604,4.313,,1
seg,61,infer,2391013.382,2414401.718,23.388,0.129,1
seg,62,prep,2414480.182,2418099.154,3.619,,1
seg,62,infer,2418101.099,2441522.547,23.421,0.123,1
seg,63,prep,2441532.602,2444031.431,2.499,,1
seg,63,infer,2444033.468,2467422.323,23.389,0.120,1
seg,64,prep,2467432.119,2473065.154,5.633,,1
seg,64,infer,2473067.284,2496455.916,23.389,0.125,1
seg,65,prep,2496526.010,2500773.935,4.248,,1
seg,65,infer,2500776.342,2524190.808,23.414,0.145,1
seg,66,prep,2524265.884,2529186.076,4.920,,1
seg,66,infer,2529188.539,2552489.986,23.301,0.136,1
seg,67,prep,2552553.542,2559377.963,6.824,,1
seg,67,infer,2559380.666,2582746.762,23.366,0.134,1
seg,68,prep,2582818.577,2587932.402,5.114,,1
seg,68,infer,2587934.939,2611392.851,23.458,0.163,1
seg,69,prep,2611404.425,2616849.735,5.445,,1
seg,69,infer,2616851.309,2640118.163,23.267,0.127,1
seg,70,prep,2640192.034,2642756.141,2.564,,1
seg,70,infer,2642758.789,2688147.444,45.389,0.131,1
seg,71,prep,2688161.759,2693360.122,5.198,,1
seg,71,infer,2693362.474,2716494.011,23.132,0.139,1
seg,72,prep,2716569.567,2720625.489,4.056,,1
seg,72,infer,2720628.101,2744172.087,23.544,0.137,1
seg,73,prep,2744253.458,2748792.480,4.539,,1
seg,73,infer,2748794.980,2772314.188,23.519,0.136,1
seg,74,prep,2772380.559,2776143.348,3.763,,1
seg,74,infer,2776146.052,2799770.576,23.625,0.139,1
seg,75,prep,2799840.059,2807524.768,7.685,,1
seg,75,infer,2807527.009,2831252.554,23.726,0.168,1
seg,76,prep,2831316.314,2836725.457,5.409,,1
seg,76,infer,2836727.642,2860311.388,23.584,0.135,1
seg,77,prep,2860375.500,2864786.483,4.411,,1
seg,77,infer,2864789.131,2902577.485,37.788,0.135,1
seg,78,prep,2902661.930,2906592.333,3.930,,1
seg,78,infer,2906594.444,2929963.039,23.369,0.141,1
seg,79,prep,2930043.133,2934180.278,4.137,,1
seg,79,infer,2934182.260,2957772.136,23.590,0.138,1
seg,80,prep,2957842.655,2962154.748,4.312,,1
seg,80,infer,2962157.081,2985517.343,23.360,0.137,1
seg,81,prep,2985577.603,2990598.037,5.020,,1
seg,81,infer,2990601.075,3013692.296,23.091,0.138,1
seg,82,prep,3013758.871,3017431.288,3.672,,1
seg,82,infer,3017433.751,3040536.954,23.103,0.142,1
seg,83,prep,3040607.641,3044042.407,3.435,,1
seg,83,infer,3044044.981,3067621.653,23.577,0.130,1
seg,84,prep,3067633.801,3072988.722,5.355,,1
seg,84,infer,3072990.537,3105121.059,32.131,0.126,1
seg,85,prep,3105204.116,3109264.908,4.061,,1
seg,85,infer,3109266.779,3132231.795,22.965,0.139,1
seg,86,prep,3132301.333,3138654.266,6.353,,1
seg,86,infer,3138656.821,3161920.434,23.264,0.140,1
seg,87,prep,3161996.120,3167642.118,5.646,,1
seg,87,infer,3167644.822,3190986.362,23.342,0.142,1
seg,88,prep,3191092.067,3196235.744,5.144,,1
seg,88,infer,3196237.725,3219619.432,23.382,0.143,1
seg,89,prep,3219691.729,3222918.900,3.227,,1
seg,89,infer,3222921.030,3246020.122,23.099,0.134,1
seg,90,prep,3246032.381,3249423.572,3.391,,1
seg,90,infer,3249425.424,3272582.961,23.158,0.121,1
seg,91,prep,3272593.757,3276115.673,3.522,,1
seg,91,infer,3276117.525,3299365.766,23.248,0.128,1
seg,92,prep,3299441.934,3304773.168,5.331,,1
seg,92,infer,3304775.724,3328028.540,23.253,0.140,1
seg,93,prep,3328088.503,3334101.191,6.013,,1
seg,93,infer,3334103.562,3357330.969,23.227,0.134,1
seg,94,prep,3357410.415,3361139.074,3.729,,1
seg,94,infer,3361141.481,3384409.278,23.268,0.136,1
seg,95,prep,3384477.612,3388847.224,4.370,,1
seg,95,infer,3388849.539,3412122.040,23.273,0.136,1
seg,96,prep,3412207.615,3416429.076,4.221,,1
seg,96,infer,3416431.261,3439642.576,23.211,0.134,1
seg,97,prep,3439702.336,3443755.833,4.053,,1
seg,97,infer,3443759.203,3466871.498,23.112,0.135,1
seg,98,prep,3466946.722,3471819.395,4.873,,1
seg,98,infer,3471821.784,3495115.396,23.294,0.138,1
seg,99,prep,3495188.453,3502332.988,7.145,,1
seg,99,infer,3502335.526,3525577.193,23.242,0.138,1
seg,100,prep,3525642.008,3530180.566,4.539,,1
seg,100,infer,3530182.955,3553555.921,23.373,0.139,1
seg,101,prep,3553630.699,3558311.815,4.681,,1
seg,101,infer,3558313.944,3581703.188,23.389,0.139,1
seg,102,prep,3581771.522,3589017.003,7.245,,1
seg,102,infer,3589018.874,3612452.062,23.433,0.132,1
seg,103,prep,3612523.989,3616499.651,3.976,,1
seg,103,infer,3616501.947,3639859.227,23.357,0.143,1
seg,104,prep,3639932.302,3646509.164,6.577,,1
seg,104,infer,3646511.515,3669610.959,23.099,0.139,1
seg,105,prep,3669672.256,3673319.673,3.647,,1
seg,105,infer,3673322.451,3696678.582,23.356,0.135,1
seg,106,prep,3696743.916,3701018.471,4.275,,1
seg,106,infer,3701020.360,3740876.758,39.856,0.140,1
seg,107,prep,3740953.463,3745644.004,4.691,,1
seg,107,infer,3745647.226,3768845.356,23.198,0.141,1
seg,108,prep,3768930.394,3772525.996,3.596,,1
seg,108,infer,3772528.477,3795855.849,23.327,0.138,1
seg,109,prep,3795920.554,3800043.051,4.122,,1
seg,109,infer,3800044.718,3823364.552,23.320,0.134,1
seg,110,prep,3823434.868,3829351.462,5.917,,1
seg,110,infer,3829354.055,3852705.816,23.352,0.134,1
seg,111,prep,3852774.799,3857525.693,4.751,,1
seg,111,infer,3857528.674,3880801.675,23.273,0.141,1
seg,112,prep,3880883.917,3886347.190,5.463,,1
seg,112,infer,3886350.005,3909559.339,23.209,0.138,1
seg,113,prep,3909624.469,3915047.409,5.423,,1
