# epoch_wall_clock_ns=1788138013185453841
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
seg,48,prep,2735587.117,2739861.448,4.274,,1
seg,48,infer,2739863.392,2768002.931,28.140,0.147,1
seg,49,prep,2768103.969,2772558.152,4.454,,1
seg,49,infer,2772560.097,2801335.826,28.776,0.131,1
seg,50,prep,2801411.012,2805581.545,4.171,,1
seg,50,infer,2805584.989,2833379.655,27.795,0.140,1
seg,51,prep,2833458.581,2838246.379,4.788,,1
seg,51,infer,2838248.823,2865288.723,27.040,0.142,1
seg,52,prep,2865417.169,2872184.408,6.767,,1
seg,52,infer,2872186.686,2898976.806,26.790,0.184,1
seg,53,prep,2899095.807,2902835.892,3.740,,1
seg,53,infer,2902837.818,2930259.703,27.422,0.180,1
seg,54,prep,2930275.314,2936120.582,5.845,,1
seg,54,infer,2936123.008,2963503.004,27.380,0.224,1
seg,55,prep,2963597.949,2969225.568,5.628,,1
seg,55,infer,2969227.364,2995495.221,26.268,0.169,1
seg,56,prep,2995598.740,3002093.866,6.495,,1
seg,56,infer,3002094.903,3028451.390,26.356,0.168,1
seg,57,prep,3028542.817,3037947.595,9.405,,1
seg,57,infer,3037949.243,3064998.421,27.049,0.166,1
seg,58,prep,3065096.181,3070256.537,5.160,,1
seg,58,infer,3070259.093,3097145.121,26.886,0.163,1
seg,59,prep,3097159.492,3101704.139,4.545,,1
seg,59,infer,3101705.972,3129990.549,28.285,0.226,1
seg,60,prep,3130004.142,3134702.290,4.698,,1
seg,60,infer,3134703.716,3162924.014,28.220,0.166,1
seg,61,prep,3162937.996,3169181.564,6.244,,1
seg,61,infer,3169183.009,3196065.593,26.883,0.169,1
seg,62,prep,3196166.001,3201428.098,5.262,,1
seg,62,infer,3201430.617,3258060.752,56.630,0.166,1
seg,63,prep,3258077.196,3261546.909,3.470,,1
seg,63,infer,3261548.631,3289585.558,28.037,0.168,1
seg,64,prep,3289600.595,3297529.121,7.929,,1
