run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
3,1,1,0,1,1,0,31,31,None,83.481204,83.854802,None,10.6558,12.2657,65589,0,98.0319
1,1,0,1,1,1,0,0,None,0,70.814765,None,70.938909,11.3954,12.2326,60570,0,97.7063
2,1,0,1,1,1,0,0,None,0,70.704581,None,70.842971,11.8677,12.1109,61051,0,97.6957
3,1,0,1,1,1,0,0,None,0,70.676373,None,70.787337,11.8531,12.2209,60740,0,97.6960
1,1,0,1,1,1,0,0,None,15,70.664847,None,70.757078,11.9202,12.0801,60933,0,97.6754
2,1,0,1,1,1,0,0,None,15,70.719416,None,70.786832,11.5732,12.0027,60590,0,97.7329
3,1,0,1,1,1,0,0,None,15,70.747306,None,70.804548,11.6562,12.1612,60674,0,97.7009
1,1,0,1,1,1,0,0,None,31,70.685910,None,70.748090,11.9477,12.3011,60925,0,97.6688
2,1,0,1,1,1,0,0,None,31,70.650077,None,70.795026,11.8956,12.1385,60970,0,97.6890
3,1,0,1,1,1,0,0,None,31,70.871079,None,70.865050,11.4954,12.0914,60914,0,97.6610
1,1,0,1,1,1,0,15,None,0,70.720462,None,70.832536,11.9051,12.1536,60792,0,97.6651
2,1,0,1,1,1,0,15,None,0,70.728243,None,70.874765,11.5317,12.1228,60480,0,97.6925
3,1,0,1,1,1,0,15,None,0,70.770754,None,70.821545,11.7095,12.2646,60658,0,97.6916
1,1,0,1,1,1,0,15,None,15,70.818514,None,70.896704,11.5502,11.952,60503,0,97.6820
2,1,0,1,1,1,0,15,None,15,70.752689,None,70.796863,11.8123,12.3398,60991,0,97.7002
3,1,0,1,1,1,0,15,None,15,70.846253,None,70.897494,11.4886,12.1081,60702,0,97.7028
1,1,0,1,1,1,0,15,None,31,70.736864,None,70.788679,11.6895,12.1919,60591,0,97.7076
2,1,0,1,1,1,0,15,None,31,70.739195,None,70.828177,11.6989,12.2529,60538,0,97.6768
3,1,0,1,1,1,0,15,None,31,70.815103,None,70.862903,11.7973,12.0888,61008,0,97.6805
1,1,0,1,1,1,0,31,None,0,70.782814,None,70.928366,11.5639,12.0229,61014,0,97.6666
2,1,0,1,1,1,0,31,None,0,70.698052,None,70.857919,11.8417,12.2837,60934,0,97.6929
3,1,0,1,1,1,0,31,None,0,70.969772,None,70.874250,11.3958,12.2364,60714,0,97.6990
1,1,0,1,1,1,0,31,None,15,70.661664,None,70.919503,11.6153,12.1909,60774,0,97.6934
2,1,0,1,1,1,0,31,None,15,70.719207,None,70.793210,11.672,12.1579,60633,0,97.7142
3,1,0,1,1,1,0,31,None,15,70.697887,None,70.831285,11.9036,12.1818,60602,0,97.7008
1,1,0,1,1,1,0,31,None,31,70.706367,None,70.822416,11.7299,12.2068,60564,0,97.6732
2,1,0,1,1,1,0,31,None,31,70.743011,None,71.030786,11.4346,12.1845,60622,0,97.6922
3,1,0,1,1,1,0,31,None,31,70.731751,None,70.817974,11.7416,12.0985,60677,0,97.6918
1,0,1,1,1,1,0,None,0,0,None,83.955204,83.605252,11.127,12.4614,94989,0,97.9007
2,0,1,1,1,1,0,None,0,0,None,83.954510,83.531990,11.2235,12.4323,94991,0,97.9059
3,0,1,1,1,1,0,None,0,0,None,83.843514,83.511997,11.0938,12.3836,94991,0,97.9269
1,0,1,1,1,1,0,None,0,15,None,83.890072,83.603943,11.1108,12.4135,94993,0,97.8884
2,0,1,1,1,1,0,None,0,15,None,83.881019,83.528609,11.0986,12.4058,94987,0,97.9399
3,0,1,1,1,1,0,None,0,15,None,83.985999,83.653521,10.6732,12.3794,94991,0,97.9490
1,0,1,1,1,1,0,None,0,31,None,83.853442,83.464876,11.1043,12.3654,94996,0,97.9080
2,0,1,1,1,1,0,None,0,31,None,83.838983,83.490915,11.0815,12.3134,94988,0,97.9181
3,0,1,1,1,1,0,None,0,31,None,83.869529,83.592595,11.066,12.4813,94989,0,97.9326
1,0,1,1,1,1,0,None,15,0,None,83.836512,83.573178,11.0323,12.4237,94995,0,97.9189
2,0,1,1,1,1,0,None,15,0,None,83.971151,83.593923,11.0976,12.4723,94968,0,97.9107
3,0,1,1,1,1,0,None,15,0,None,83.899583,83.610931,11.1329,12.3518,94991,0,97.9032
1,0,1,1,1,1,0,None,15,15,None,83.939300,83.449496,11.2136,12.4239,94989,0,97.9041
