use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,context_switches,npu_percent,hrtt_networks,hrtt_switches_per_sec,hrtt_idle_time_pct,hrtt_run_time_sec,det_avg_fps,det_device_usage_pct,det_sched_threshold_pct,det_sched_timeout_pct,det_sched_idle_pct,det_avg_latency_ms,det_max_latency_ms,det_activation_ms,det_deactivation_ms,seg_avg_fps,seg_device_usage_pct,seg_sched_threshold_pct,seg_sched_timeout_pct,seg_sched_idle_pct,seg_avg_latency_ms,seg_max_latency_ms,seg_activation_ms,seg_deactivation_ms,pose_avg_fps,pose_device_usage_pct,pose_sched_threshold_pct,pose_sched_timeout_pct,pose_sched_idle_pct,pose_avg_latency_ms,pose_max_latency_ms,pose_activation_ms,pose_deactivation_ms,
1,0,1,1,1,0,15,None,0,70.331809,None,70.349276,13.3271,12.1014,1212298,97.6563,2,22.969,0.001,29.692,11.451,48.036,100.0,100.0,0.0,33.196,35.608,0.569,0,,,,,,,,,,11.485,51.963,100.0,100.0,0.0,32.158,34.887,0.602,0,
1,0,1,1,1,0,15,None,15,70.426801,None,70.436722,12.988,12.1449,1199983,97.6931,2,22.976,0.001,29.683,11.454,48.072,100.0,100.0,0.0,33.154,35.811,0.564,0,,,,,,,,,,11.488,51.927,100.0,100.0,0.0,32.162,34.975,0.6,0,
1,0,1,1,1,0,15,None,31,70.376476,None,70.526298,12.9591,12.1005,1198153,97.6784,2,22.903,0.001,29.69,11.418,48.093,100.0,100.0,0.0,33.165,35.426,0.565,0,,,,,,,,,,11.452,51.907,100.0,100.0,0.0,32.138,36.62,0.605,0,
1,0,1,1,1,0,31,None,0,70.391686,None,70.36047,13.4647,12.0331,1224176,97.6619,2,22.826,0.001,29.703,11.379,48.096,100.0,100.0,0.0,33.219,35.434,0.565,0,,,,,,,,,,11.413,51.903,100.0,100.0,0.0,32.188,34.965,0.6,0,
1,0,1,1,1,0,31,None,15,70.35864,None,70.39025,13.4064,11.965,1221211,97.6641,2,22.824,0.001,29.705,11.412,48.099,100.0,100.0,0.0,33.22,35.307,0.559,0,,,,,,,,,,11.412,51.9,100.0,100.0,0.0,32.264,34.871,0.596,0,
1,0,1,1,1,0,31,None,31,70.368056,None,70.48148,13.0918,12.122,1219392,97.6695,2,22.905,0.001,29.688,11.419,48.115,100.0,100.0,0.0,33.145,35.664,0.569,0,,,,,,,,,,11.453,51.885,100.0,100.0,0.0,32.24,34.765,0.602,0,
0,1,1,1,1,0,None,0,0,None,83.644611,83.075633,12.5921,12.2778,1496737,97.8767,2,19.314,0.003,29.72,,,,,,,,,,9.623,55.676,100.0,100.0,0.0,43.55,50.885,0.575,0,9.657,44.321,100.0,100.0,0.0,32.204,34.737,0.573,0,
0,1,1,1,1,0,None,0,15,None,83.758493,83.181386,12.1073,12.3508,1496602,97.8956,2,19.381,0.001,29.72,,,,,,,,,,9.657,55.674,100.0,100.0,0.0,43.527,50.765,0.579,0,9.691,44.325,100.0,100.0,0.0,32.21,35.239,0.577,0,
0,1,1,1,1,0,None,0,31,None,83.658398,82.996744,12.6613,12.3696,1488183,97.8722,2,19.336,0.001,29.738,,,,,,,,,,9.651,55.74,100.0,100.0,0.0,43.542,51.324,0.589,0,9.651,44.259,100.0,100.0,0.0,32.26,35.013,0.573,0,
0,1,1,1,1,0,None,15,0,None,83.63486,83.050522,12.0347,12.3579,1499637,97.9382,2,19.484,0.001,29.716,,,,,,,,,,9.725,55.743,100.0,100.0,0.0,43.427,50.381,0.574,0,9.725,44.256,100.0,100.0,0.0,32.21,34.857,0.575,0,
