run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose
1,1,1,1,1,15,31,31,0,15,31,31,131.518188,89.236867,88.420060,11.6886,13.1047,14901,2883,88.6522,19.311,6.259,29.517,NaN,NaN,NaN,NaN,9.621,55.472,68.446,164.016,9.655,43.363,55.295,162.903
2,1,1,1,1,15,31,31,0,15,31,31,131.801725,88.854346,88.597035,12.2101,12.9658,15042,2885,88.5356,19.213,6.264,29.511,NaN,NaN,NaN,NaN,9.59,55.805,71.056,162.814,9.59,43.505,59.591,161.479
3,1,1,1,1,15,31,31,0,15,31,31,131.663558,88.644789,88.637608,11.7614,13.0636,14960,3105,88.4800,19.282,6.306,29.51,NaN,NaN,NaN,NaN,9.624,55.618,69.083,162.833,9.624,43.294,55.354,162.85
1,1,1,1,1,31,1,15,0,31,0,15,74.994282,129.774679,74.758877,11.3343,13.1328,15193,2776,90.2042,23.034,6.586,29.522,11.517,39.838,46.29,192.115,NaN,NaN,NaN,NaN,11.483,42.701,52.671,204.077
2,1,1,1,1,31,1,15,0,31,0,15,74.828338,129.973463,74.819168,12.051,13.167,15230,2877,90.2705,22.944,6.601,29.507,11.455,39.951,46.347,188.37,NaN,NaN,NaN,NaN,11.455,42.895,53.203,201.717
3,1,1,1,1,31,1,15,0,31,0,15,74.746344,129.901364,74.882742,12.0443,13.1886,15204,2907,90.3489,22.948,6.616,29.501,11.457,40.04,46.779,190.579,NaN,NaN,NaN,NaN,11.457,42.775,52.879,205.108
1,1,1,1,1,31,1,31,0,31,0,31,74.868072,129.971860,74.940454,12.0992,13.1426,15201,2898,90.2965,22.911,6.674,29.55,11.438,40.052,51.491,191.827,0.034,51.112,51.112,0.353,11.405,42.824,56.853,202.939
2,1,1,1,1,31,1,31,0,31,0,31,75.524556,130.103949,74.870042,11.5423,13.0426,15176,2933,90.2415,22.835,6.687,29.517,11.417,40.038,48.473,192.463,NaN,NaN,NaN,NaN,11.383,43.133,56.548,201.065
3,1,1,1,1,31,1,31,0,31,0,31,75.083807,130.218329,74.959546,11.9895,13.0549,15224,2942,90.1818,22.837,6.543,29.558,11.401,39.963,47.927,191.356,NaN,NaN,NaN,NaN,11.401,43.322,57.142,203.446
1,1,1,1,1,31,15,1,0,31,15,0,86.455953,86.544073,125.634846,11.2683,13.1424,15204,2969,91.3180,20.575,5.355,29.502,10.271,39.535,44.824,170.064,10.237,54.129,66.829,187.207,0.034,38.428,38.428,0.256
2,1,1,1,1,31,15,1,0,31,15,0,86.261460,86.857101,125.972709,12.0557,13.252,15147,3009,90.9863,20.463,5.444,29.516,10.198,39.628,44.822,170.18,10.198,54.439,64.441,182.78,0.034,38.253,38.253,0.33
3,1,1,1,1,31,15,1,0,31,15,0,86.600747,86.589956,125.811532,10.9957,13.0064,15089,3028,90.9204,20.495,5.59,29.52,10.23,39.613,45.379,171.111,10.197,54.19,63.055,184.246,0.034,38.127,38.127,0.437
1,1,1,1,1,31,15,31,0,31,15,31,74.848436,129.866761,74.928736,11.6098,13.0282,15159,2802,90.2565,22.989,6.558,29.493,11.46,39.885,47.153,191.755,0.034,49.675,49.675,1.96,11.46,42.812,52.734,203.256
2,1,1,1,1,31,15,31,0,31,15,31,74.792755,129.585060,75.087526,10.8621,12.953,15188,2651,90.6876,23.069,6.495,29.52,11.518,39.813,46.307,191.159,NaN,NaN,NaN,NaN,11.518,42.672,51.735,202.83
3,1,1,1,1,31,15,31,0,31,15,31,75.143965,130.314039,75.202154,12.4673,13.2212,15211,2823,90.2326,22.77,6.639,29.556,11.368,40.165,48.344,189.94,0.034,51.154,51.154,0.237,11.334,43.257,55.996,199.873
1,1,1,1,1,31,31,15,0,31,31,15,86.778658,86.934641,126.327559,12.2899,13.2263,15155,3066,90.9628,20.256,5.558,29.521,10.094,39.815,50.441,170.978,10.094,55.102,70.811,182.369,0.034,38.25,38.25,0.386
2,1,1,1,1,31,31,15,0,31,31,15,86.622454,86.169341,125.693299,10.9746,12.9736,15207,2892,91.2399,20.492,5.526,29.524,10.229,39.612,45.157,170.286,10.229,54.212,63.83,183.822,NaN,NaN,NaN,NaN
3,1,1,1,1,31,31,15,0,31,31,15,86.087941,86.631494,125.727329,11.2104,12.999,15124,2912,91.3188,20.512,5.284,29.543,10.222,39.596,45.169,172.825,10.222,54.402,65.546,183.686,0.034,38.145,38.145,0.435
