run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose
1,1,1,0,1,1,1,None,0,15,0,None,86.300971,86.445482,None,12.6061,11.6161,9114,2124,96.2976,20.401,5.417,29.754,10.184,39.697,46.183,173.107,10.184,54.655,67.014,184.499,None,None,None,None
1,1,1,0,1,1,15,None,0,15,0,None,86.098354,86.458042,None,12.9945,11.5996,9084,2239,96.2984,20.399,5.467,29.756,10.183,39.66,45.746,173.617,10.183,54.65,67.283,184.975,None,None,None,None
1,1,1,0,1,1,31,None,0,15,0,None,86.231501,86.600501,None,13.4327,11.6581,9128,2075,96.1500,20.366,5.483,29.755,10.15,39.707,50.538,172.724,10.183,54.714,75.4,184.378,None,None,None,None
1,1,1,0,1,1,1,None,0,15,15,None,86.217781,86.804779,None,13.1138,11.6425,9054,2039,96.2808,20.366,5.507,29.755,10.15,39.688,53.883,174.275,10.183,54.709,66.69,186.023,None,None,None,None
1,1,1,0,1,1,15,None,0,15,15,None,86.186623,86.704088,None,12.2897,11.6113,9103,2114,96.3645,20.446,5.378,29.737,10.189,39.599,45.833,173.814,10.223,54.558,66.057,184.883,None,None,None,None
1,1,1,0,1,1,31,None,0,15,15,None,86.279356,86.531866,None,12.6733,11.5667,9098,2159,96.2834,20.377,5.401,29.74,10.155,39.722,48.412,173.381,10.188,54.731,66.525,183.905,None,None,None,None
1,1,1,0,1,1,1,None,0,15,31,None,86.199477,86.398894,None,12.4295,11.5353,9104,2102,96.3768,20.473,5.368,29.747,10.219,39.58,45.154,174.333,10.219,54.488,66.059,185.724,None,None,None,None
1,1,1,0,1,1,15,None,0,15,31,None,86.143533,86.870657,None,12.2178,11.5763,9066,1975,96.2545,20.398,5.542,29.758,10.182,39.629,45.41,171.867,10.182,54.613,66.38,183.094,None,None,None,None
1,1,1,0,1,1,31,None,0,15,31,None,86.235589,86.469326,None,13.1851,11.5486,9131,2265,96.3642,20.375,5.348,29.742,10.154,39.741,45.665,173.321,10.188,54.771,66.262,183.602,None,None,None,None
1,1,1,0,1,15,1,None,0,15,0,None,86.464049,86.788273,None,13.3639,11.5451,9105,2127,96.2732,20.266,5.596,29.754,10.116,39.795,45.956,172.535,10.116,55.006,70.029,188.776,None,None,None,None
1,1,1,0,1,15,15,None,0,15,0,None,86.441724,86.589473,None,13.224,11.4964,9100,2081,96.3240,20.35,5.389,29.73,10.158,39.761,45.886,175.164,10.158,54.855,73.826,187.182,None,None,None,None
1,1,1,0,1,15,31,None,0,15,0,None,86.115260,86.657189,None,12.3144,11.4704,9087,2102,96.3450,20.443,5.427,29.741,10.188,39.57,45.084,172.569,10.222,54.55,69.983,184.835,None,None,None,None
1,1,1,0,1,15,1,None,0,15,15,None,86.200166,86.433475,None,12.6795,11.5627,9148,2224,96.3326,20.401,5.391,29.753,10.184,39.642,46.622,174.007,10.184,54.733,67.372,184.722,None,None,None,None
1,1,1,0,1,15,15,None,0,15,15,None,86.156920,86.550505,None,12.6273,11.4675,9070,2126,96.3203,20.401,5.365,29.753,10.184,39.674,46.482,172.568,10.184,54.726,67.265,184.179,None,None,None,None
1,1,1,0,1,15,31,None,0,15,15,None,86.131332,86.718496,None,12.3627,11.5843,9063,2125,96.3139,20.401,5.592,29.754,10.184,39.609,46.29,172.652,10.184,54.57,66.018,183.652,None,None,None,None
1,1,1,0,1,15,1,None,0,15,31,None,86.415032,86.775903,None,13.3186,11.4658,9109,2186,96.1768,20.266,5.718,29.754,10.116,39.788,46.299,172.936,10.116,54.891,67.627,183.918,None,None,None,None
1,1,1,0,1,15,15,None,0,15,31,None,86.495624,86.849607,None,13.1603,11.5443,9100,2102,96.2002,20.273,5.572,29.744,10.12,39.824,46.409,170.331,10.12,54.969,70.113,181.268,None,None,None,None
1,1,1,0,1,15,31,None,0,15,31,None,86.686502,86.686488,None,12.74,11.4995,9129,2057,96.2937,20.307,5.525,29.743,10.12,39.775,45.265,170.56,10.154,54.879,65.839,185.436,None,None,None,None
