run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose
2,0,1,1,1,None,15.0,15.0,0,None,15.0,15.0,None,88.900956,88.60717,12.6295,12.42,12789,1456,96.0032,19.441,6.306,29.731,None,None,None,None,9.721,55.171,71.944,167.065,9.687,42.908,55.208,166.032
3,0,1,1,1,None,15.0,15.0,0,None,15.0,15.0,None,88.62814,88.620663,13.4612,12.473,12796,1482,95.8833,19.413,6.185,29.722,None,None,None,None,9.69,55.327,71.539,166.472,9.69,43.04,57.811,167.176
1,0,1,1,1,None,15.0,31.0,0,None,15.0,31.0,None,88.765441,88.5336,13.1639,12.254,12791,1466,95.9411,19.443,6.151,29.727,None,None,None,None,9.722,55.165,68.129,168.875,9.688,43.062,54.14,166.415
2,0,1,1,1,None,15.0,31.0,0,None,15.0,31.0,None,88.830369,88.567336,12.6508,12.3744,12789,1382,95.9381,19.405,6.397,29.734,None,None,None,None,9.686,55.211,67.265,166.511,9.686,42.978,53.888,165.554
3,0,1,1,1,None,15.0,31.0,0,None,15.0,31.0,None,88.7935,88.484151,12.8138,12.4875,12793,1443,95.9224,19.407,6.227,29.732,None,None,None,None,9.687,55.298,67.378,165.335,9.687,43.057,53.474,165.096
1,0,1,1,1,None,31.0,15.0,0,None,31.0,15.0,None,88.96347,88.659414,12.9911,12.2866,12791,1439,95.939,19.34,6.389,29.73,None,None,None,None,9.653,55.355,67.653,165.758,9.653,43.171,59.779,165.103
2,0,1,1,1,None,31.0,15.0,0,None,31.0,15.0,None,88.555231,88.382734,13.4221,12.404,12794,1671,95.9462,19.407,6.2,29.731,None,None,None,None,9.687,55.312,69.307,167.028,9.687,43.07,59.821,166.335
3,0,1,1,1,None,31.0,15.0,0,None,31.0,15.0,None,88.300564,88.342995,13.117,12.466,12792,1555,95.8713,19.479,6.118,29.724,None,None,None,None,9.723,55.213,66.753,166.276,9.723,42.89,53.421,166.352
1,0,1,1,1,None,31.0,31.0,0,None,31.0,31.0,None,88.683968,88.480684,12.9267,12.4055,12792,1428,95.9706,19.444,6.149,29.727,None,None,None,None,9.722,55.218,66.963,165.945,9.688,43.01,53.787,166.571
2,0,1,1,1,None,31.0,31.0,0,None,31.0,31.0,None,88.722193,88.572769,12.6041,12.3964,12793,1448,95.8029,19.41,6.386,29.726,None,None,None,None,9.688,55.228,67.609,166.68,9.688,42.944,53.722,166.774
3,0,1,1,1,None,31.0,31.0,0,None,31.0,31.0,None,88.362246,88.035007,13.8882,12.4632,12791,1523,95.8932,19.426,6.234,29.703,None,None,None,None,9.696,55.205,66.756,166.342,9.696,43.047,53.165,167.122
