run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose,total_time_ms_nopp_det,total_time_ms_nopp_seg,total_time_ms_nopp_pose
1,1,0,0,1,1,1,1,0,15,15,15,218.872,NaN,NaN,24.5697,11.117,2978,996,NaN,NaN,NaN,11.689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6756,NaN,NaN,7.26903,NaN,NaN,0.00010376,NaN,NaN,226.142,NaN,NaN,226.141,NaN,NaN
1,0,1,0,1,1,1,1,0,15,15,15,NaN,281.835,NaN,25.9574,11.1627,6804,723,NaN,NaN,NaN,16.3016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2882,NaN,NaN,8.00566,NaN,NaN,0.000105387,NaN,NaN,289.841,NaN,NaN,289.841,NaN
1,0,0,1,1,1,1,1,0,15,15,15,NaN,NaN,213.292,30.1386,11.2239,6154,748,NaN,NaN,NaN,12.5488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.536,NaN,NaN,7.59931,NaN,NaN,8.70768e-05,NaN,NaN,220.892,NaN,NaN,220.892
1,1,1,0,1,1,1,1,0,15,15,15,712.126,596.299,NaN,22.8101,11.8353,9562,1768,NaN,NaN,NaN,38.5048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.4895,38.4644,NaN,8.30018,7.55571,NaN,9.07389e-05,9.92839e-05,NaN,720.426,603.855,NaN,720.426,603.854,NaN
1,1,0,1,1,1,1,1,0,15,15,15,669.95,NaN,555.308,24.9198,11.5268,8929,1503,NaN,NaN,NaN,36.1316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.1146,NaN,36.0942,8.19528,NaN,7.62318,9.64355e-05,NaN,9.35872e-05,678.146,NaN,562.931,678.145,NaN,562.931
1,0,1,1,1,1,1,1,0,15,15,15,NaN,631.286,623.38,21.6525,11.7791,12582,1643,NaN,NaN,NaN,40.8148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.7955,40.7714,NaN,7.78819,8.20342,NaN,0.000106608,9.31803e-05,NaN,639.074,631.584,NaN,639.074,631.584
1,1,1,1,1,1,1,1,0,15,15,15,964.136,800.487,793.946,21.7114,12.3716,15508,2472,NaN,NaN,NaN,52.4565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.4315,52.3915,52.4118,8.1153,7.64692,8.33437,8.66699e-05,9.64355e-05,8.66699e-05,972.252,808.134,802.281,972.251,808.134,802.281
