model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
2,1,1,0,1,0,0,31,826.404,,355.324,49.127,,24.428,0.983,,26.54,187.831,,276.797,98.698,0.079,0.002,7.087,22.946
2,1,1,0,1,15,0,0,428.722,,680.63,24.783,,49.106,26.534,,0.721,284.745,,134.813,98.722,0.119,0.002,4.485,22.981
2,1,1,0,1,15,0,15,902.291,,744.105,53.873,,53.82,11.946,,11.972,32.379,,30.814,95.834,23.944,0.002,5.347,22.988
2,1,1,0,1,15,0,31,826.388,,355.399,49.125,,24.429,1.175,,26.355,209.572,,276.73,99.037,0.078,0.002,7.166,22.971
2,1,1,0,1,31,0,0,428.408,,680.672,24.759,,49.107,26.361,,0.901,284.734,,172.839,99.043,0.118,0.002,4.584,22.941
2,1,1,0,1,31,0,15,428.815,,680.618,24.784,,49.107,26.506,,0.747,284.75,,141.604,98.768,0.118,0.002,4.487,23.003
2,1,1,0,1,31,0,31,900.628,,743.294,53.781,,53.766,11.992,,11.991,32.405,,30.777,95.579,24.023,0.001,5.317,22.944
2,1,1,1,0,0,0,0,1025.06,858.059,,61.456,61.403,,10.643,10.669,,32.317,41.112,,96.66,21.312,0.002,4.309,23.198
2,1,1,1,0,0,15,0,966.925,482.097,,57.747,33.055,,,20.357,,,378.12,,99.303,0.039,0.002,4.658,23.158
2,1,1,1,0,0,31,0,967.038,482.138,,57.747,33.065,,0.04,20.347,,32.165,377.442,,99.134,0.052,0.002,4.549,23.143
2,1,1,1,0,15,0,0,427.893,810.072,,24.731,57.751,,26.271,0.729,,285.107,220.713,,99.355,0.104,0.003,3.885,23.224
2,1,1,1,0,15,15,0,1025.423,858.735,,61.492,61.451,,10.625,10.651,,32.326,41.044,,96.659,21.303,0.002,4.317,23.163
2,1,1,1,0,15,31,0,966.872,482.011,,57.744,33.052,,,20.357,,,378.13,,99.289,0.039,0.002,4.636,23.124
2,1,1,1,0,31,0,0,428.816,810.034,,24.78,57.748,,26.309,0.704,,284.707,198.008,,99.276,0.117,0.002,3.792,23.111
2,1,1,1,0,31,15,0,428.934,810.043,,24.795,57.749,,26.359,0.666,,284.74,182.242,,99.21,0.117,0.002,3.797,23.025
2,1,1,1,0,31,31,0,1025.753,859.063,,61.515,61.474,,10.63,10.63,,32.316,41.058,,96.603,21.287,0.002,4.356,23.098
2,10,0,1,1,0,0,0,,1349.68,1302.713,,35.457,35.393,,16.322,16.388,,301.862,261.56,96.628,3.346,0.003,15.544,24.76
2,10,0,1,1,0,0,15,,1383.823,627.438,,35.3,14.702,,8.338,26.595,,496.832,193.802,97.632,3.596,0.002,16.259,24.949
2,10,0,1,1,0,0,31,,1394.85,632.892,,35.478,14.814,,8.107,26.534,,519.763,195.941,96.721,3.588,0.002,16.338,24.889
2,10,0,1,1,0,15,0,,800.12,1281.423,,18.556,34.382,,26.545,5.627,,246.418,483.604,96.987,3.326,0.002,15.184,24.932
2,10,0,1,1,0,15,15,,1348.313,1302.107,,35.435,35.371,,16.259,16.548,,298.331,263.857,96.066,3.355,0.002,15.48,24.784
2,10,0,1,1,0,15,31,,1387.367,626.124,,35.329,14.665,,8.359,26.54,,500.287,193.145,96.74,3.602,0.004,16.242,24.831
2,10,0,1,1,0,31,0,,807.238,1273.22,,18.749,34.31,,26.89,5.142,,248.135,494.335,97.907,3.316,0.002,15.044,24.839
2,10,0,1,1,0,31,15,,808.155,1287.687,,18.746,34.587,,26.48,5.246,,249.733,510.215,97.187,3.266,0.002,15.267,24.93
2,10,0,1,1,0,31,31,,1355.757,1309.607,,35.608,35.579,,16.204,16.244,,301.796,264.614,96.006,3.33,0.004,15.437,24.991
2,10,1,0,1,0,0,0,1242.053,,1180.1,31.627,,31.672,19.494,,19.255,193.217,,232.203,95.008,3.952,0.002,16.992,24.299
2,10,1,0,1,0,0,15,1289.44,,624.538,32.237,,14.641,11.3,,26.528,240.568,,192.414,95.25,3.876,0.002,17.991,24.38
2,10,1,0,1,0,0,31,1300.35,,635.494,32.52,,14.898,10.482,,26.665,252.419,,197.128,96.044,3.816,0.002,18.159,24.398
2,10,1,0,1,15,0,0,566.187,,1193.93,12.523,,30.529,26.503,,14.479,159.347,,327.157,96.299,4.201,0.002,17.385,24.32
2,10,1,0,1,15,0,15,1253.287,,1189.59,31.886,,31.858,19.187,,19.187,194.242,,235.616,94.864,3.918,0.002,17.288,24.444
2,10,1,0,1,15,0,31,1290.357,,629.218,32.276,,14.754,11.273,,26.495,239.643,,193.669,95.383,3.871,0.002,17.999,24.382
2,10,1,0,1,31,0,0,565.071,,1181.22,12.496,,30.209,26.83,,14.655,159.097,,322.745,97.504,4.265,0.002,17.144,24.372
2,10,1,0,1,31,0,15,565.598,,1185.553,12.509,,30.323,26.646,,14.715,159.272,,322.194,97.011,4.237,0.002,17.297,24.357
2,10,1,0,1,31,0,31,1246.113,,1184.593,31.717,,31.761,19.362,,19.336,192.166,,235.415,94.726,3.936,0.002,17.267,24.36
2,10,1,1,0,0,0,0,1329.25,1301.607,,34.241,34.259,,17.803,17.646,,196.004,276.489,,95.526,3.624,0.002,15.414,24.869
2,10,1,1,0,0,15,0,1350.953,820.051,,34.587,19.001,,6.262,26.457,,260.928,254.485,,96.619,3.354,0.002,16.127,24.833
2,10,1,1,0,0,31,0,1352.117,819.46,,34.615,19.044,,6.112,26.48,,261.966,252.692,,96.507,3.358,0.002,16.057,24.768
2,10,1,1,0,15,0,0,567.801,1278.803,,12.566,32.616,,26.591,13.247,,159.57,339.399,,96.385,4.082,0.002,15.434,24.866
2,10,1,1,0,15,15,0,1318.097,1293.41,,34.009,34.068,,18.05,17.893,,191.624,274.039,,95.418,3.657,0.002,15.317,24.857
2,10,1,1,0,15,31,0,1345.767,811.228,,34.423,18.822,,6.671,26.409,,248.806,249.811,,96.637,3.401,0.002,16.047,24.894
2,10,1,1,0,31,0,0,567.611,1292.267,,12.559,32.767,,26.443,13.084,,159.326,356.999,,96.737,4.073,0.002,15.694,24.713
2,10,1,1,0,31,15,0,567.106,1283.433,,12.555,32.665,,26.55,13.135,,159.427,348.149,,96.492,4.063,0.002,15.504,24.784
2,10,1,1,0,31,31,0,1317.073,1290.59,,33.972,33.985,,18.178,17.875,,192.444,272.802,,95.042,3.675,0.002,15.273,24.833
2,50,0,1,1,0,0,0,,6280.03,5966.623,,35.698,35.201,,15.06,16.328,,1460.757,1337.422,98.181,0.721,0.002,14.685,34.708
2,50,0,1,1,0,0,15,,6408.75,3188.863,,35.604,17.307,,5.393,27.289,,2489.777,1127.774,98.449,0.77,0.002,14.784,34.552
2,50,0,1,1,0,0,31,,6369.527,3183.327,,35.564,17.279,,5.481,27.323,,2364.608,1129.429,98.704,0.771,0.002,14.761,34.386
2,50,0,1,1,0,15,0,,3745.84,6034.097,,20.172,35.094,,27.738,2.897,,1336.788,1987.874,97.669,0.742,0.002,14.24,34.357
2,50,0,1,1,0,15,15,,6270.24,5959.107,,35.619,35.13,,15.188,16.318,,1470.362,1340.944,98.244,0.721,0.002,14.606,34.358
