model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
3,1,1,1,1,0,0,0,1456.633,1210.317,1198.117,88.033,87.92,87.992,7.207,7.26,7.233,32.37,41.707,30.673,96.566,21.672,0.002,3.959,23.519
3,1,1,1,1,0,0,15,1408.387,1172.077,355.663,84.955,84.973,24.447,0.328,0.315,26.474,31.793,42.997,276.154,98.068,0.721,0.002,4.98,23.624
3,1,1,1,1,0,0,31,1408.44,1171.787,356.091,84.945,84.951,24.475,0.315,0.328,26.492,31.868,44.965,275.738,98.06,0.682,0.002,4.903,23.623
3,1,1,1,1,0,15,0,1408.51,482.127,1157.947,84.91,33.066,84.918,,20.344,0.04,,377.438,28.614,98.27,0.053,0.004,3.845,23.6
3,1,1,1,1,0,15,15,1446.66,871.585,857.991,87.099,62.392,62.401,0.039,10.208,10.195,32.484,41.203,30.711,97.09,20.441,0.002,4.09,23.544
3,1,1,1,1,0,15,31,1366.473,806.77,355.325,82.187,57.496,24.43,,0.645,26.648,,197.148,276.746,99.5,0.079,0.002,4.88,23.513
3,1,1,1,1,0,31,0,1408.237,481.946,1158.077,84.891,33.054,84.926,,20.354,,,378.095,,98.434,0.039,0.005,3.92,23.535
3,1,1,1,1,0,31,15,1365.813,482.117,792.2,82.156,33.066,57.463,,20.347,0.039,,377.43,30.323,99.261,0.052,0.002,3.843,23.502
3,1,1,1,1,0,31,31,1446.727,871.204,858.344,87.106,62.364,62.41,,10.203,10.189,,41.264,30.687,97.33,20.419,0.002,4.059,23.518
3,1,1,1,1,15,0,0,428.469,1171.06,1157.72,24.756,84.912,84.931,26.64,0.237,0.21,284.655,46.582,30.939,98.065,0.513,0.002,3.391,23.425
3,1,1,1,1,15,0,15,901.09,1198.647,742.288,53.769,86.819,53.692,11.948,0.04,12.027,32.396,40.114,31.321,97.411,23.963,0.002,3.887,23.432
3,1,1,1,1,15,0,31,826.267,1136.633,355.418,49.131,82.182,24.433,0.677,,26.846,150.142,,276.587,99.684,0.08,0.005,4.943,23.509
3,1,1,1,1,15,15,0,1026.36,856.099,1171.543,61.422,61.259,85.827,10.57,10.729,,32.329,42.691,,97.613,21.206,0.002,3.633,23.421
3,1,1,1,1,15,15,15,1454.893,1209.873,1196.67,87.954,87.891,87.911,7.24,7.267,7.254,32.361,41.246,30.652,96.468,21.787,0.002,3.937,23.558
3,1,1,1,1,15,15,31,1407.75,1171.12,355.877,84.915,84.906,24.464,0.264,0.277,26.664,31.728,42.934,275.789,98.288,0.606,0.002,4.919,23.506
3,1,1,1,1,15,31,0,966.863,481.993,1122.397,57.75,33.057,82.154,,20.36,,,378.039,,99.538,0.039,0.003,3.832,23.52
3,1,1,1,1,15,31,15,1408.183,482.027,1158.03,84.89,33.055,84.925,,20.358,,,378.055,,98.238,0.039,0.002,3.876,23.533
3,1,1,1,1,15,31,31,1446.483,870.942,858.067,87.085,62.344,62.376,,10.224,10.183,,41.404,30.7,97.355,20.42,0.002,4.042,23.487
3,1,1,1,1,31,0,0,428.208,1170.727,1157.417,24.749,84.888,84.926,26.863,0.159,0.132,284.711,41.132,31.116,98.571,0.345,0.002,3.374,23.513
3,1,1,1,1,31,0,15,428.832,1136.36,681.672,24.779,82.16,49.186,26.494,0.065,0.669,284.696,56.354,157.398,99.275,0.118,0.002,3.411,23.449
3,1,1,1,1,31,0,31,900.714,1198.8,743.267,53.785,86.83,53.769,11.997,0.039,11.997,32.408,40.383,30.795,97.257,24.034,0.005,3.863,23.412
3,1,1,1,1,31,15,0,428.645,810.343,1122.453,24.771,57.774,82.159,26.519,0.525,0.079,284.691,157.113,47.478,99.261,0.118,0.003,3.354,23.446
3,1,1,1,1,31,15,15,429.626,1170.09,1158.597,24.829,84.838,84.946,26.519,0.315,0.224,285.055,75.021,31.012,98.156,0.526,0.002,3.396,23.614
3,1,1,1,1,31,15,31,899.938,1198.177,743.329,53.744,86.783,53.776,12.012,0.039,11.986,32.394,39.819,30.768,97.315,24.064,0.004,3.819,23.471
3,1,1,1,1,31,31,0,1025.513,858.807,1171.563,61.491,61.466,85.83,10.623,10.636,0.276,32.303,41.072,137.511,97.437,21.298,0.001,3.7,23.545
3,1,1,1,1,31,31,15,1023.363,857.343,1171.143,61.374,61.363,85.797,10.674,10.687,,32.321,41.05,,97.436,21.388,0.002,3.646,23.547
3,1,1,1,1,31,31,31,1455.2,1211.183,1196.373,87.962,87.966,87.904,7.25,7.237,7.263,32.387,41.161,30.882,96.936,21.762,0.002,4.01,23.428
