model_count,batch,model,own_pri,max_other_pri,advantage,latency,total_time,fps,hrtt_lat,npu
1.0,50.0,pose,31.0,,,3161.25,17.0069,39.578,1126.984,98.6925
1.0,63.0,det,0.0,,,3308.85,14.1175,47.699,1149.707,94.9
1.0,63.0,det,0.0,,,3308.16,14.128,47.663,1147.52,99.2362
1.0,63.0,det,0.0,,,3310.2,14.1238,47.678,1150.748,99.3154
1.0,63.0,det,15.0,,,3315.05,14.1512,47.586,1150.658,95.2523
1.0,63.0,det,15.0,,,3307.72,14.1179,47.698,1148.284,95.0723
1.0,63.0,det,15.0,,,3288.83,14.0289,48.0,1143.754,94.8046
1.0,63.0,det,31.0,,,3299.16,14.0729,47.852,1145.773,95.3031
1.0,63.0,det,31.0,,,3306.26,14.1102,47.728,1149.478,95.3338
1.0,63.0,det,31.0,,,3302.03,14.0867,47.802,1148.174,94.0571
1.0,63.0,seg,0.0,,,4554.55,19.9578,33.726,1673.822,98.3005
1.0,63.0,seg,0.0,,,4566.59,20.077,33.526,1677.328,95.7915
1.0,63.0,seg,0.0,,,4542.35,19.911,33.805,1673.754,98.3837
1.0,63.0,seg,15.0,,,4558.25,20.0207,33.62,1674.479,95.922
1.0,63.0,seg,15.0,,,4569.13,20.1276,33.441,1673.748,95.904
1.0,63.0,seg,15.0,,,4513.21,19.7378,34.102,1658.134,95.8579
1.0,63.0,seg,31.0,,,4528.58,19.8615,33.89,1662.085,96.0058
1.0,63.0,seg,31.0,,,4556.88,19.9724,33.701,1674.608,95.222
1.0,63.0,seg,31.0,,,4537.09,19.8753,33.866,1665.445,95.7553
1.0,63.0,pose,0.0,,,3857.88,16.8437,39.961,1419.655,99.3187
1.0,63.0,pose,0.0,,,3858.41,16.9735,39.655,1401.575,95.3856
1.0,63.0,pose,0.0,,,3862.69,17.008,39.575,1402.746,95.5837
1.0,63.0,pose,15.0,,,3881.02,17.0869,39.392,1402.757,96.0065
1.0,63.0,pose,15.0,,,3849.47,16.8752,39.887,1405.168,95.6425
1.0,63.0,pose,15.0,,,3864.81,16.9797,39.641,1398.903,98.9919
1.0,63.0,pose,31.0,,,3864.73,17.0183,39.551,1399.096,95.6419
1.0,63.0,pose,31.0,,,3858.23,16.9569,39.695,1408.983,95.6494
1.0,63.0,pose,31.0,,,3832.99,16.7989,40.068,1398.258,95.6338
2.0,1.0,det,0.0,0.0,0.0,1024.82,61.4552,10.654,32.343,96.5868
2.0,1.0,seg,0.0,0.0,0.0,858.236,61.4147,10.654,41.077,96.5868
2.0,1.0,det,0.0,0.0,0.0,1024.87,61.4592,10.659,32.311,96.6938
2.0,1.0,seg,0.0,0.0,0.0,858.249,61.4184,10.659,41.034,96.6938
2.0,1.0,det,0.0,0.0,0.0,1025.49,61.453,10.616,32.296,96.7002
2.0,1.0,seg,0.0,0.0,0.0,857.691,61.3758,10.694,41.226,96.7002
2.0,1.0,det,0.0,15.0,-15.0,966.934,57.7483,,,99.3219
2.0,1.0,seg,15.0,0.0,15.0,482.169,33.0561,20.353,378.092,99.3219
2.0,1.0,det,0.0,15.0,-15.0,966.901,57.7471,,,99.3072
2.0,1.0,seg,15.0,0.0,15.0,482.137,33.0551,20.353,378.115,99.3072
2.0,1.0,det,0.0,15.0,-15.0,966.939,57.7463,,,99.2812
2.0,1.0,seg,15.0,0.0,15.0,481.984,33.0539,20.365,378.152,99.2812
2.0,1.0,det,0.0,31.0,-31.0,967.058,57.7475,0.04,32.165,98.6756
2.0,1.0,seg,31.0,0.0,31.0,482.307,33.088,20.327,376.219,98.6756
2.0,1.0,det,0.0,31.0,-31.0,966.893,57.7455,,,99.3395
2.0,1.0,seg,31.0,0.0,31.0,482.133,33.0532,20.356,378.065,99.3395
2.0,1.0,det,0.0,31.0,-31.0,967.164,57.7469,,,99.3872
2.0,1.0,seg,31.0,0.0,31.0,481.975,33.0544,20.357,378.043,99.3872
2.0,1.0,det,15.0,0.0,15.0,428.091,24.7485,26.254,284.758,99.3698
2.0,1.0,seg,0.0,15.0,-15.0,810.08,57.7514,0.741,217.593,99.3698
2.0,1.0,det,15.0,0.0,15.0,428.271,24.7487,26.304,284.711,99.3093
2.0,1.0,seg,0.0,15.0,-15.0,810.067,57.7515,0.704,208.71,99.3093
2.0,1.0,det,15.0,0.0,15.0,427.317,24.6967,26.256,285.852,99.3861
2.0,1.0,seg,0.0,15.0,-15.0,810.068,57.7499,0.741,235.837,99.3861
2.0,1.0,det,15.0,15.0,0.0,1024.65,61.439,10.642,32.331,96.6048
2.0,1.0,seg,15.0,15.0,0.0,857.993,61.3981,10.681,41.008,96.6048
2.0,1.0,det,15.0,15.0,0.0,1025.91,61.5214,10.603,32.338,96.7855
2.0,1.0,seg,15.0,15.0,0.0,859.189,61.4808,10.642,41.046,96.7855
2.0,1.0,det,15.0,15.0,0.0,1025.71,61.5143,10.631,32.309,96.5877
2.0,1.0,seg,15.0,15.0,0.0,859.022,61.4738,10.631,41.078,96.5877
2.0,1.0,det,15.0,31.0,-16.0,966.911,57.7403,,,99.3063
2.0,1.0,seg,31.0,15.0,16.0,481.8,33.0488,20.358,378.173,99.3063
2.0,1.0,det,15.0,31.0,-16.0,966.929,57.7462,,,99.307
2.0,1.0,seg,31.0,15.0,16.0,482.159,33.054,20.357,378.082,99.307
2.0,1.0,det,15.0,31.0,-16.0,966.775,57.745,,,99.2533
2.0,1.0,seg,31.0,15.0,16.0,482.075,33.0523,20.356,378.136,99.2533
2.0,1.0,det,31.0,0.0,31.0,428.999,24.7962,26.314,284.715,99.2696
2.0,1.0,seg,0.0,31.0,-31.0,810.048,57.7489,0.704,192.665,99.2696
2.0,1.0,det,31.0,0.0,31.0,429.122,24.7953,26.303,284.706,99.2868
2.0,1.0,seg,0.0,31.0,-31.0,809.998,57.747,0.703,192.413,99.2868
2.0,1.0,det,31.0,0.0,31.0,428.328,24.7475,26.309,284.699,99.2719
2.0,1.0,seg,0.0,31.0,-31.0,810.057,57.749,0.704,208.946,99.2719
2.0,1.0,det,31.0,15.0,16.0,429.645,24.8418,26.459,284.756,99.02
2.0,1.0,seg,15.0,31.0,-16.0,810.046,57.7486,0.59,145.32,99.02
2.0,1.0,det,31.0,15.0,16.0,428.23,24.7483,26.303,284.705,99.347
2.0,1.0,seg,15.0,31.0,-16.0,810.055,57.7502,0.704,208.787,99.347
2.0,1.0,det,31.0,15.0,16.0,428.928,24.7956,26.315,284.758,99.2625
2.0,1.0,seg,15.0,31.0,-16.0,810.029,57.7484,0.704,192.619,99.2625
2.0,1.0,det,31.0,31.0,0.0,1025.62,61.5091,10.632,32.322,96.622
2.0,1.0,seg,31.0,31.0,0.0,858.987,61.4682,10.632,41.072,96.622
2.0,1.0,det,31.0,31.0,0.0,1025.0,61.4713,10.647,32.323,96.5412
2.0,1.0,seg,31.0,31.0,0.0,858.44,61.4308,10.647,41.013,96.5412
2.0,1.0,det,31.0,31.0,0.0,1026.64,61.5643,10.612,32.302,96.6458
2.0,1.0,seg,31.0,31.0,0.0,859.763,61.5238,10.612,41.088,96.6458
2.0,1.0,det,0.0,0.0,0.0,901.205,53.813,11.965,32.392,95.7187
2.0,1.0,pose,0.0,0.0,0.0,743.364,53.7722,12.004,30.8,95.7187
2.0,1.0,det,0.0,0.0,0.0,901.383,53.8297,11.98,32.389,95.7253
2.0,1.0,pose,0.0,0.0,0.0,743.541,53.7884,11.98,30.782,95.7253
2.0,1.0,det,0.0,0.0,0.0,902.992,53.8563,11.908,32.367,95.9485
2.0,1.0,pose,0.0,0.0,0.0,742.993,53.7418,12.025,31.112,95.9485
2.0,1.0,det,0.0,15.0,-15.0,826.362,49.1259,1.174,211.084,99.0842
2.0,1.0,pose,15.0,0.0,15.0,355.374,24.4284,26.346,276.76,99.0842
2.0,1.0,det,0.0,15.0,-15.0,826.353,49.1257,0.679,158.879,98.0741
2.0,1.0,pose,15.0,0.0,15.0,355.548,24.4286,26.861,276.657,98.0741
2.0,1.0,det,0.0,15.0,-15.0,826.383,49.1279,1.099,205.592,98.9413
2.0,1.0,pose,15.0,0.0,15.0,355.377,24.4295,26.419,276.654,98.9413
2.0,1.0,det,0.0,31.0,-31.0,826.639,49.1336,1.174,202.969,99.0452
2.0,1.0,pose,31.0,0.0,31.0,355.315,24.4299,26.344,276.852,99.0452
2.0,1.0,det,0.0,31.0,-31.0,826.2,49.124,0.639,151.634,98.0449
2.0,1.0,pose,31.0,0.0,31.0,355.334,24.4279,26.888,276.724,98.0449
2.0,1.0,det,0.0,31.0,-31.0,826.374,49.1243,1.137,208.89,99.0048
2.0,1.0,pose,31.0,0.0,31.0,355.324,24.4276,26.387,276.815,99.0048
2.0,1.0,det,15.0,0.0,15.0,428.497,24.7708,26.39,284.777,98.9965
2.0,1.0,pose,0.0,15.0,-15.0,680.652,49.1054,0.863,164.412,98.9965
2.0,1.0,det,15.0,0.0,15.0,428.485,24.7699,26.39,284.731,99.0006
2.0,1.0,pose,0.0,15.0,-15.0,680.698,49.1063,0.863,164.414,99.0006
2.0,1.0,det,15.0,0.0,15.0,429.183,24.8069,26.822,284.726,98.1686
2.0,1.0,pose,0.0,15.0,-15.0,680.54,49.1052,0.438,75.612,98.1686
2.0,1.0,det,15.0,15.0,0.0,901.774,53.8519,11.969,32.382,95.9608
2.0,1.0,pose,15.0,15.0,0.0,743.981,53.8111,11.969,30.794,95.9608
2.0,1.0,det,15.0,15.0,0.0,902.858,53.9223,11.917,32.382,95.7385
2.0,1.0,pose,15.0,15.0,0.0,744.996,53.8815,11.956,30.789,95.7385
2.0,1.0,det,15.0,15.0,0.0,902.24,53.8447,11.953,32.373,95.8032
2.0,1.0,pose,15.0,15.0,0.0,743.339,53.7668,11.992,30.86,95.8032
2.0,1.0,det,15.0,31.0,-16.0,826.436,49.1245,1.174,211.477,99.0602
2.0,1.0,pose,31.0,15.0,16.0,355.442,24.4291,26.347,276.686,99.0602
2.0,1.0,det,15.0,31.0,-16.0,826.336,49.124,1.213,208.531,99.0952
2.0,1.0,pose,31.0,15.0,16.0,355.428,24.4269,26.324,276.762,99.0952
2.0,1.0,det,15.0,31.0,-16.0,826.391,49.1271,1.137,208.707,98.9562
2.0,1.0,pose,31.0,15.0,16.0,355.328,24.4299,26.395,276.741,98.9562
2.0,1.0,det,31.0,0.0,31.0,428.54,24.7695,26.366,284.759,99.0277
2.0,1.0,pose,0.0,31.0,-31.0,680.613,49.1047,0.901,169.95,99.0277
2.0,1.0,det,31.0,0.0,31.0,427.989,24.736,26.366,284.764,99.0179
