model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
3,10,1,1,1,0,0,0,1751.897,1674.423,1636.023,47.024,47.032,47.025,11.524,11.549,11.577,203.594,283.724,261.197,96.469,3.538,0.007,13.243,26.047
3,10,1,1,1,0,0,15,1783.607,1704.747,635.019,47.591,47.619,14.909,4.516,4.396,26.812,305.532,442.656,194.935,97.027,3.665,0.002,13.655,26.238
3,10,1,1,1,0,0,31,1785.327,1706.05,635.356,47.618,47.702,14.941,4.658,4.367,26.719,304.874,443.45,195.433,96.478,3.639,0.005,13.737,26.167
3,10,1,1,1,0,15,0,1738.677,821.801,1609.943,46.582,19.073,46.644,2.777,26.7,2.513,314.018,254.022,415.813,96.818,3.306,0.002,13.338,26.098
3,10,1,1,1,0,15,15,1758.8,1348.507,1309.757,47.567,35.466,35.515,,16.287,16.114,,303.124,266.74,97.091,3.327,0.002,13.682,26.066
3,10,1,1,1,0,15,31,1752.667,1384.417,639.494,47.386,35.338,14.999,0.04,7.864,26.911,34.732,514.843,196.462,97.545,3.599,0.002,14.269,26.104
3,10,1,1,1,0,31,0,1734.277,820.088,1604.58,46.458,19.008,46.523,2.824,26.767,2.598,302.556,254.221,410.089,96.713,3.314,0.008,13.24,26.083
3,10,1,1,1,0,31,15,1722.163,824.784,1273.447,46.489,19.158,34.436,,26.882,4.793,,253.615,499.102,97.763,3.236,0.009,13.358,26.066
3,10,1,1,1,0,31,31,1757.687,1347.633,1305.0,47.531,35.439,35.456,,16.282,16.322,,299.546,263.84,96.676,3.325,0.002,13.741,26.082
3,10,1,1,1,15,0,0,568.214,1617.033,1569.403,12.581,44.926,44.893,26.887,6.671,6.712,159.351,353.357,317.741,97.009,4.128,0.004,12.484,26.087
3,10,1,1,1,15,0,15,1251.137,1628.717,1185.083,31.831,46.656,31.808,19.31,0.04,19.124,194.478,40.641,235.511,95.969,3.907,0.002,12.794,26.091
3,10,1,1,1,15,0,31,1291.303,1643.647,638.523,32.327,47.135,14.98,10.493,,26.89,245.871,,196.717,96.833,3.835,0.002,13.418,26.099
3,10,1,1,1,15,15,0,1324.353,1293.793,1551.06,34.064,34.048,45.673,17.772,17.771,0.202,196.402,278.612,83.229,96.827,3.621,0.002,12.346,26.096
3,10,1,1,1,15,15,15,1738.887,1658.427,1617.25,46.643,46.58,46.579,11.741,11.875,11.741,199.422,281.662,250.269,96.711,3.608,0.003,12.932,25.994
3,10,1,1,1,15,15,31,1778.307,1698.86,634.543,47.398,47.482,14.884,4.585,4.289,27.07,311.947,452.397,196.133,97.192,3.673,0.002,13.742,25.945
3,10,1,1,1,15,31,0,1340.16,825.251,1560.363,34.377,19.135,45.966,5.853,26.922,0.08,259.225,255.217,45.665,97.32,3.373,0.002,13.105,25.92
3,10,1,1,1,15,31,15,1732.687,824.238,1600.957,46.395,19.144,46.455,2.703,27.039,2.435,322.832,255.211,426.816,96.815,3.294,0.002,13.219,25.933
3,10,1,1,1,15,31,31,1762.98,1354.983,1311.45,47.687,35.616,35.6,0.04,16.195,16.128,32.664,304.635,264.606,96.658,3.311,0.003,13.602,26.118
3,10,1,1,1,31,0,0,569.741,1615.447,1571.823,12.624,44.9,44.918,26.88,6.737,6.669,159.623,350.657,316.515,97.005,4.127,0.002,12.419,26.118
3,10,1,1,1,31,0,15,569.054,1578.22,1175.963,12.612,45.041,30.234,26.998,0.04,14.306,159.624,42.507,317.278,97.206,4.252,0.002,12.627,25.981
3,10,1,1,1,31,0,31,1258.487,1633.983,1193.507,32.001,46.822,31.971,19.054,0.04,18.827,198.758,40.712,239.309,96.35,3.864,0.002,12.77,25.991
3,10,1,1,1,31,15,0,571.269,1277.777,1503.487,12.67,32.58,44.142,26.864,12.919,0.399,159.667,348.286,156.198,96.731,4.085,0.002,12.522,25.959
3,10,1,1,1,31,15,15,568.954,1624.563,1580.053,12.612,45.093,45.106,26.88,6.457,6.55,159.73,362.064,336.908,96.266,4.087,0.002,12.55,25.973
3,10,1,1,1,31,15,31,1248.28,1627.67,1187.197,31.783,46.62,31.841,19.287,0.08,19.007,194.451,58.296,235.962,96.264,3.906,0.006,12.73,25.989
3,10,1,1,1,31,31,0,1312.283,1283.75,1544.763,33.83,33.806,45.467,18.045,18.004,,190.753,273.246,,96.166,3.665,0.003,12.381,25.937
3,10,1,1,1,31,31,15,1316.073,1287.043,1546.6,33.886,33.867,45.528,17.987,18.0,,192.538,275.649,,96.021,3.667,0.005,12.417,25.935
3,10,1,1,1,31,31,31,1744.437,1672.243,1626.54,46.868,46.863,46.792,11.699,11.647,11.739,200.041,283.615,252.215,95.983,3.576,0.002,12.982,25.974
