model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
3,50,1,1,1,0,0,0,7676.58,7770.387,7637.077,47.692,47.596,47.7,10.922,11.254,11.353,1046.553,1409.589,1312.964,98.452,0.788,0.004,11.957,39.309
3,50,1,1,1,0,0,15,7855.96,7967.953,3224.007,48.148,48.651,17.513,4.197,2.168,28.243,1479.685,2053.447,1144.39,98.181,0.797,0.002,12.366,39.281
3,50,1,1,1,0,0,31,7906.56,8022.107,3218.183,48.375,48.896,17.626,3.766,2.106,28.165,1569.31,2252.574,1136.479,98.456,0.781,0.008,12.279,39.272
3,50,1,1,1,0,15,0,7818.61,3845.293,7796.83,48.055,20.868,48.477,2.069,27.843,0.648,1561.249,1393.491,1081.786,97.987,0.731,0.002,12.484,39.181
3,50,1,1,1,0,15,15,8019.87,6191.417,5994.163,48.706,35.463,35.016,,14.815,16.36,,1504.203,1399.62,98.326,0.71,0.002,12.674,39.286
3,50,1,1,1,0,15,31,8068.457,6337.887,3212.533,49.026,35.776,17.556,,4.604,27.91,,2186.619,1140.669,98.016,0.774,0.002,12.578,39.332
3,50,1,1,1,0,31,0,7759.26,3825.863,7725.893,47.665,20.798,48.104,2.107,28.364,0.475,1559.067,1370.06,1084.911,98.473,0.717,0.002,12.236,39.253
3,50,1,1,1,0,31,15,7959.457,3840.197,5979.037,48.317,20.784,35.068,,28.135,2.146,,1373.204,2140.298,98.405,0.71,0.002,12.434,39.21
3,50,1,1,1,0,31,31,8032.6,6205.17,5965.793,48.795,35.548,35.094,,14.814,16.707,,1447.616,1373.667,98.026,0.71,0.002,12.804,39.27
3,50,1,1,1,15,0,0,2741.103,7574.543,7412.007,14.379,45.829,45.655,28.106,4.963,5.644,916.852,1659.65,1521.821,98.301,0.891,0.004,10.724,39.341
3,50,1,1,1,15,0,15,5532.553,7849.93,5602.563,32.28,47.776,32.689,17.794,0.042,18.181,1019.07,44.093,1256.991,98.207,0.832,0.002,11.416,39.275
3,50,1,1,1,15,0,31,5852.047,7965.473,3218.78,33.516,48.578,17.535,6.761,0.125,27.975,1358.268,98.109,1138.16,97.814,0.79,0.002,12.13,39.302
3,50,1,1,1,15,15,0,5733.19,5920.95,7647.277,33.763,34.229,47.235,18.224,16.806,,1062.988,1409.227,,98.05,0.793,0.006,11.14,39.291
3,50,1,1,1,15,15,15,7713.487,7789.383,7611.113,47.977,47.663,47.645,10.786,11.407,11.522,1048.357,1432.521,1302.195,98.307,0.776,0.002,11.904,39.374
3,50,1,1,1,15,15,31,7873.523,7984.113,3230.787,48.239,48.746,17.634,4.19,2.137,28.202,1507.573,2081.023,1141.16,97.965,0.796,0.004,12.212,39.22
3,50,1,1,1,15,31,0,6090.33,3805.81,7820.023,35.398,20.639,48.398,4.031,27.87,,1492.634,1365.407,,98.013,0.732,0.006,12.378,39.287
3,50,1,1,1,15,31,15,7835.69,3819.233,7741.303,48.017,20.672,48.162,1.73,28.116,1.135,1551.544,1364.777,1616.778,98.232,0.71,0.002,12.244,39.262
3,50,1,1,1,15,31,31,7978.413,6125.537,5920.55,48.436,35.19,34.772,,14.981,16.677,,1443.626,1364.733,98.721,0.715,0.006,12.606,39.257
3,50,1,1,1,31,0,0,2729.087,7536.483,7415.753,14.288,45.564,45.696,28.572,5.493,4.922,918.534,1685.189,1525.827,98.675,0.934,0.007,10.598,39.348
3,50,1,1,1,31,0,15,2740.827,7654.727,5577.503,14.38,46.47,31.373,27.83,,11.041,919.43,,1476.087,98.014,0.868,0.002,10.722,39.361
3,50,1,1,1,31,0,31,5531.897,7819.71,5544.993,32.351,47.575,32.39,17.943,,18.689,1021.238,,1279.572,97.751,0.829,0.004,11.451,39.258
3,50,1,1,1,31,15,0,2737.333,5888.713,7431.52,14.339,32.801,45.804,28.112,9.974,0.041,922.529,1690.438,33.771,98.216,0.905,0.003,10.611,39.24
3,50,1,1,1,31,15,15,2744.137,7599.913,7389.32,14.359,45.842,45.616,27.958,4.848,5.634,923.627,1674.323,1508.22,97.741,0.872,0.002,10.738,39.32
3,50,1,1,1,31,15,31,5518.04,7832.51,5569.227,32.433,47.657,32.498,17.815,,18.528,1018.081,,1260.792,97.929,0.837,0.005,11.407,39.263
3,50,1,1,1,31,31,0,5753.72,5918.62,7652.127,33.981,34.249,47.277,18.114,16.877,,1064.676,1408.476,,97.632,0.794,0.002,11.281,39.372
3,50,1,1,1,31,31,15,5773.687,5865.35,7638.23,34.18,33.764,47.173,16.895,17.325,0.042,1052.187,1388.955,35.057,97.935,0.781,0.002,11.239,39.322
3,50,1,1,1,31,31,31,7598.057,7794.61,7553.54,47.225,47.721,47.173,11.243,10.624,12.007,1071.205,1425.043,1344.434,98.519,0.756,0.009,11.642,39.296
